,NonCitzRemovedRegion,2011_total,2011_criminal,2011_nonCrim,2012_total,2012_criminal,2012_nonCrim,2013_total,2013_criminal,2013_nonCrim,2014_total,2014_criminal,2014_nonCrim,2015_total,2015_criminal,2015_nonCrim,2016_total,2016_criminal,2016_nonCrim,2017_total,2017_criminal,2017_nonCrim,2018_total,2018_criminal,2018_nonCrim,2019_total,2019_criminal,2019_nonCrim,2029_total,2020_criminal,2020_nonCrim
0,Total,390413,189702,200711,415587,200039,215548,432212,198488,233724,405042,172403,232639,325191,123277,201914,331570,116354,215216,286758,109595,177163,327568,148123,179445,348468,170112,178356,239151,118357,120794
1,Africa,1865,663,1202,1427,668,759,1288,605,683,1285,528,757,1362,376,986,1521,409,1112,2946,887,2059,3332,2009,1323,2598,1744,854,1715,1078,637
2,Asia,6155,1626,4529,4293,1466,2827,3475,1153,2322,2984,1092,1892,2639,806,1833,3313,792,2521,4896,957,3939,4528,2852,1676,6292,3685,2607,5671,2401,3270
3,Europe,3475,1275,2200,2799,1266,1533,2162,1100,1062,1758,889,869,1463,722,741,1494,680,814,2015,796,1219,2480,1340,1140,2494,1399,1095,1880,979,901
4,North America,368633,182471,186162,398812,193231,205581,418917,192716,226201,393478,167251,226227,314266,119113,195153,318113,112246,205867,268967,104659,164308,307596,134786,172810,325420,154517,170903,220259,107677,112582
5,Oceania,334,222,112,256,189,67,238,192,46,228,184,44,185,149,36,237,162,75,276,186,90,323,289,34,288,262,26,174,150,24
6,South America,9869,3430,6439,7968,3207,4761,6095,2705,3390,5287,2450,2837,5239,2099,3140,6857,2058,4799,7622,2106,5516,9253,6813,2440,11332,8474,2858,9420,6058,3362
7,Unknown,82,15,67,32,12,20,37,17,20,22,9,13,37,12,25,35,7,28,36,4,32,56,34,22,44,31,13,32,14,18
