,NaturalizedCountry2013,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,779929,1811,1083,13165,1567,164792,6263,9253,1460,1854,101773,19534,691,3494,1305,27706,4369,2503,2761,3341,2543,988,17752,21404,12950,10526,973,4817,294,2418,8507,1589,41173,2371,107330,12150,532,10664,3487,5784,17813,2447,2816,4770,464,5004,57947,310,673,3026,496,22279,17589,443,4532,242,2101
1,Afghanistan,2074,4,0,61,0,682,24,18,5,2,24,45,0,2,23,14,6,7,11,6,7,7,30,16,13,8,0,27,2,23,29,6,47,15,245,29,0,9,3,20,48,0,0,8,2,24,67,0,0,9,0,368,56,0,12,3,9
2,Albania,3538,2,3,23,0,54,9,184,4,2,309,7,0,2,3,191,7,2,3,2,2,2,31,349,612,2,2,39,2,0,26,18,204,3,899,26,0,97,2,5,239,0,3,19,0,9,26,0,0,5,2,38,19,2,48,2,10
3,Algeria,841,2,2,8,0,136,8,9,2,2,39,15,0,2,2,33,9,4,5,5,10,2,17,50,11,13,2,6,0,2,3,5,49,2,111,26,0,44,2,5,61,0,4,8,0,4,59,0,0,3,2,44,11,0,9,2,2
4,American Samoa,265,0,26,5,0,27,5,0,0,0,2,12,2,28,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,2,3,0,2,10,2,0,0,0,14,2,2,10,8,0,17,0,10,67,0,0,0,3
5,Angola,143,0,0,2,0,11,0,6,0,2,13,3,0,0,0,0,0,2,2,0,0,0,8,26,2,2,0,0,0,2,0,2,16,0,6,2,0,0,2,0,10,0,8,0,0,0,17,0,0,0,2,5,0,0,0,0,0
6,Anguilla,26,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0
7,Antigua-Barbuda,366,0,0,2,0,4,0,5,0,2,62,14,0,2,0,2,2,0,2,0,0,0,12,12,2,2,2,0,0,0,0,0,22,0,135,10,0,2,2,0,12,0,0,2,0,2,10,0,38,0,0,8,0,0,2,0,3
8,Argentina,4177,8,2,44,5,592,38,63,5,17,1536,91,2,15,7,71,20,2,11,13,14,0,76,83,27,24,6,26,2,2,58,3,195,20,395,45,0,33,8,21,57,36,10,21,0,21,205,0,0,40,2,141,45,2,15,0,5
9,Armenia,3203,0,0,13,0,2599,16,5,0,2,37,9,0,0,2,14,5,0,2,2,2,0,24,47,11,7,0,2,0,0,56,2,46,0,122,4,0,23,4,10,25,0,7,6,0,2,23,2,0,9,0,25,34,0,6,0,2
10,Aruba,42,0,0,0,0,0,0,0,0,0,14,2,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,2,5,0,3,0,0,0,0,0,0,0,2
11,Australia,1296,4,5,30,7,310,44,18,2,13,73,34,2,11,6,42,12,9,5,3,12,6,21,42,13,24,2,11,4,2,13,8,33,7,121,30,4,16,12,14,21,0,8,8,2,13,75,0,0,16,2,43,66,0,14,0,8
12,Austria,248,0,2,3,0,55,2,2,0,0,32,7,0,3,2,13,0,2,2,3,2,2,5,9,3,2,2,2,2,2,2,4,9,2,22,3,0,5,2,0,2,0,0,4,0,2,16,0,0,2,2,12,7,2,3,2,2
