,Unnamed: 0,Geographic area,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
42,42,"McAllen-Edinburg-Mission, TX",3409.0,3617.0,3267.0,3045.0,3054.0,3308.0,2845.0,3302.0,3093.0,2342.0
43,43,"Stockton, CA",2901.0,2935.0,2599.0,2983.0,3151.0,3600.0,3476.0,3226.0,3129.0,2231.0
44,44,"Jacksonville, FL",3453.0,3365.0,3170.0,3266.0,3296.0,4306.0,4082.0,4319.0,3657.0,2197.0
45,45,"Worcester, MA-CT",3453.0,3300.0,2945.0,2982.0,3010.0,3575.0,3624.0,3344.0,2994.0,2175.0
46,46,"Pittsburgh, PA",2736.0,2614.0,2650.0,2449.0,2503.0,2867.0,2706.0,2792.0,2592.0,2082.0
47,47,"Urban Honolulu, HI",5550.0,5020.0,4656.0,4358.0,4731.0,4735.0,4081.0,4152.0,3728.0,2039.0
48,48,"Milwaukee-Waukesha, WI",2885.0,2767.0,2686.0,2685.0,3079.0,3183.0,3176.0,3331.0,3225.0,2026.0
49,49,"Louisville/Jefferson County, KY-IN",2645.0,2616.0,2592.0,3199.0,3054.0,4111.0,4401.0,5538.0,3193.0,2017.0
50,50,"Fresno, CA",3073.0,2894.0,2853.0,2878.0,3212.0,3591.0,3377.0,3667.0,3222.0,2009.0
51,51,Other CBSAs,204353.0,202190.0,191545.0,189170.0,205904.0,229644.0,218693.0,221210.0,200088.0,137042.0
52,52,Other metropolitan areas,179996.0,177780.0,168402.0,166911.0,180810.0,202023.0,192836.0,195984.0,177080.0,121496.0
53,53,Other micropolitan areas,24357.0,24410.0,23143.0,22259.0,25094.0,27621.0,25857.0,25226.0,23008.0,15546.0
54,54,Non-CBSA,12869.0,13106.0,12330.0,13298.0,14277.0,14826.0,14367.0,13531.0,12050.0,7978.0
55,55,Unknown,9.0,3.0,45.0,45.0,253.0,1836.0,898.0,820.0,929.0,403.0
