,NaturalizedCountry2020,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,628254,3490,624,13672,2182,112738,8263,6813,1034,1464,78641,18694,473,2522,1390,19835,5107,3539,3035,2627,3650,710,19878,20367,9074,12016,972,4050,290,2705,10200,986,22185,2285,56273,13261,683,9553,2553,4398,12925,1187,1476,3436,834,7449,66942,379,455,5226,391,17360,15969,318,3556,208,7911
1,Afghanistan,4025,8,0,89,2,991,106,41,4,8,74,121,0,0,19,66,32,21,12,26,5,7,120,46,11,32,2,31,2,33,45,5,37,9,221,48,6,69,4,20,58,0,2,11,2,32,469,5,2,42,0,844,119,0,14,2,53
2,Albania,2308,2,2,19,4,40,4,124,3,6,220,15,0,2,0,129,4,2,2,0,2,2,25,358,229,4,0,40,0,0,24,3,117,2,531,15,0,50,0,3,128,0,0,9,0,7,65,2,0,7,0,30,13,0,46,0,23
3,Algeria,1063,3,0,8,2,175,32,15,0,3,37,19,0,2,2,67,22,2,45,2,11,0,19,58,12,12,2,4,0,2,7,2,42,2,107,12,0,70,2,4,91,2,0,2,2,9,88,0,0,2,0,37,9,0,7,0,21
4,American Samoa,177,0,13,3,0,34,2,0,0,0,2,2,0,18,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0,2,2,0,0,2,4,2,0,2,2,3,0,0,0,2,0,2,9,0,2,9,0,4,37,0,2,0,18
5,Andorra,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Angola,94,0,0,2,0,3,3,4,0,0,9,2,0,0,2,2,0,0,0,0,2,2,2,21,2,2,0,0,0,0,0,0,2,0,4,6,0,2,0,0,4,0,3,0,0,2,12,0,0,2,0,2,2,0,0,0,3
7,Anguilla,19,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
8,Antigua and Barbuda,265,0,0,2,2,6,0,6,2,0,39,8,0,0,0,0,2,0,0,0,3,2,10,5,0,2,0,0,0,0,0,2,9,0,93,3,0,5,0,0,10,0,2,0,0,4,13,0,32,0,2,3,0,0,0,0,6
9,Argentina,2884,18,6,25,9,347,36,30,3,15,1099,43,0,8,7,52,14,5,3,4,13,2,72,46,10,17,3,13,2,6,60,2,90,4,208,55,0,20,3,13,40,12,7,18,2,24,186,2,2,94,2,55,33,3,5,2,38
10,Armenia,1852,0,0,6,2,1401,6,6,0,5,18,2,0,0,2,14,2,0,4,0,3,2,29,48,3,6,0,5,2,2,55,0,20,2,85,3,0,9,0,5,17,0,5,7,0,6,16,0,0,16,0,14,10,0,2,0,20
11,Aruba,37,2,0,0,0,0,0,2,2,0,13,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,2,0,5,0,0,2,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
12,Australia,1436,9,0,31,5,363,54,18,2,4,73,33,0,13,5,48,17,5,5,7,5,2,21,39,12,26,2,17,3,2,31,7,32,4,127,35,0,16,5,16,18,0,2,9,4,30,113,2,2,37,3,26,73,2,9,0,18
13,Austria,160,2,0,5,0,44,0,2,0,0,20,9,0,2,0,4,2,2,0,0,0,0,2,4,3,2,0,2,2,0,2,0,7,0,15,2,0,5,0,2,5,0,0,2,0,0,4,0,0,5,0,6,2,0,2,0,2
14,Azerbaijan,451,0,0,10,2,127,3,5,2,3,9,11,0,0,2,11,0,2,2,0,0,0,21,17,4,2,0,6,0,0,4,0,9,3,86,9,0,7,0,5,10,2,2,3,2,2,33,0,0,6,0,11,16,0,3,0,7
15,Bahamas,481,6,0,4,2,14,2,3,0,0,257,37,0,0,0,4,6,0,0,4,3,0,8,6,4,7,2,2,0,2,2,2,4,0,22,17,0,5,3,0,2,0,0,7,0,8,25,0,0,2,0,2,2,0,2,0,10
16,Bahrain,79,2,0,3,2,13,2,2,0,0,2,4,0,0,0,2,2,2,2,0,0,2,3,2,2,0,0,2,0,0,0,0,3,2,2,2,0,2,2,0,3,0,0,0,0,2,15,0,0,0,0,5,0,0,2,0,2
17,Bangladesh,6883,30,2,70,9,367,12,118,10,8,291,231,2,4,2,54,18,8,9,2,21,0,209,148,376,20,6,13,0,2,20,2,371,5,3111,50,5,47,26,12,189,0,2,4,2,43,506,0,2,6,2,276,42,5,9,0,110
18,Barbados,399,5,0,4,0,5,3,10,2,0,46,26,0,0,0,0,2,0,0,4,0,0,20,35,0,2,2,2,0,0,3,2,19,0,142,11,0,0,2,0,11,0,3,0,0,5,15,2,0,0,2,9,3,2,2,0,7
19,Belarus,1302,0,0,3,0,192,28,36,2,0,109,28,0,2,0,71,10,2,0,4,0,2,24,80,8,44,0,6,2,3,7,3,48,2,236,44,0,19,2,19,74,0,2,13,2,6,47,2,0,8,3,27,67,2,7,0,12
