,NaturalizedRegion2018,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,761901,2468,1379,12072,2070,163059,7973,10152,1546,1606,95978,16590,849,2666,2103,26477,6578,3610,3936,4330,2986,1124,12434,24826,14338,8348,1126,5274,401,3168,7369,1815,40089,3580,81404,13622,514,14002,4051,7757,19007,1792,3046,3897,625,5518,64685,83,617,3408,693,18118,14745,573,4715,256,6453
1,Africa,64934,260,101,746,98,4707,986,770,343,519,2568,2617,2,42,176,1830,912,855,531,805,217,263,3568,3800,945,3263,74,778,19,533,443,182,3658,82,5331,1911,222,3277,412,498,2677,2,671,328,196,1061,5658,9,9,233,80,3091,1418,100,426,18,609
2,Asia,275621,1150,743,3170,688,73856,2476,2745,602,300,10903,6270,805,2163,576,10303,3213,1399,1611,1898,1273,427,4542,7924,9097,3204,532,2346,145,1333,2595,744,14764,592,29735,5391,157,7263,1682,3002,8776,2,466,1324,292,2250,19707,2,202,911,368,8304,6607,250,2069,65,2315
3,Europe,71436,231,218,866,123,10297,1086,1960,129,241,7387,1354,16,154,281,5210,540,325,182,375,241,211,857,3570,2058,583,84,788,113,150,566,380,4667,219,8827,1411,46,1501,240,1265,2599,71,374,703,48,484,2538,12,20,261,129,1590,2425,69,650,49,662
4,North America,277592,646,199,6869,1062,67726,2904,2860,389,394,53888,4622,12,128,961,8104,1656,893,1424,1046,1034,172,2568,6749,1867,934,370,1057,91,1061,3356,324,10255,2544,25735,3725,67,1388,1491,2598,3848,1345,1232,997,76,1382,33136,14,370,1303,80,3204,3614,107,1338,105,2272
5,Oceania,3792,11,57,66,5,1435,99,32,5,12,153,52,12,101,20,62,17,7,23,15,12,6,21,77,37,25,7,38,9,6,67,11,60,19,204,62,3,33,16,126,66,0,8,25,3,34,164,2,8,122,4,56,227,2,14,5,30
6,South America,67892,169,61,345,92,4898,416,1782,77,140,20968,1673,2,74,86,958,232,127,163,190,208,44,876,2671,323,334,57,261,24,83,342,168,6634,115,11518,1106,17,520,209,266,1026,314,288,515,10,304,3452,2,8,577,32,1864,446,2,218,14,547
7,Unknown,634,1,0,10,2,140,6,3,1,0,111,2,0,4,3,10,8,4,2,1,1,1,2,35,11,5,2,6,0,2,0,6,51,9,54,16,2,20,1,2,15,3,7,5,0,3,30,0,0,1,0,9,8,1,0,0,18
