,RefugeeRegion,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Total,56384,58179,69909,69975,69920,84989,53691,22405,29916,11840
1,Africa,7691,10629,15990,17506,22497,31640,20251,10462,16373,4173
2,Asia,44560,44351,48756,47165,43091,48268,26648,7524,7852,4235
3,Europe,1020,943,530,825,2178,3676,5019,3459,4850,2477
4,North America,2931,1948,4206,4067,1528,812,1456,827,511,712
5,Oceania,0,0,0,0,0,0,0,5,0,4
6,South America,46,130,233,253,522,531,232,128,298,236
7,Unknown,136,178,194,159,104,62,85,0,32,3
