NonCitzInadmissableRegion,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Total,213345,195804,205623,225016,254714,274617,216257,281928,287977,241763
Africa,4306,3625,4009,4758,6314,6665,6745,7580,8580,7355
Asia,64505,56686,61958,61047,60710,48338,35880,77819,81149,101496
Europe,21218,18286,18029,17871,18085,16011,15065,22893,22730,28128
North America,117701,112303,115984,135514,162030,192214,146000,155048,153044,91515
Oceania,836,842,911,919,1015,1193,1344,1127,1142,940
South America,4303,3826,4567,4720,6383,9950,10962,17226,21104,12275
Unknown,476,236,165,187,177,246,261,235,228,54
