,NaturalizedRegion2017,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,707265,1045,1011,12462,1328,157364,6104,7441,1453,1944,69485,16461,842,3491,1994,24933,6420,2677,3152,3445,2160,1039,17729,27739,12725,7834,662,5109,347,2422,7438,1897,38611,3312,86407,13890,607,12427,3769,6382,14898,2651,3415,5033,632,3645,50552,33,653,3141,760,21930,16030,560,3165,247,4362
1,Africa,61851,115,65,719,62,4504,847,529,294,686,1563,2553,3,34,128,1773,837,645,412,524,178,250,4900,4211,794,3006,65,841,17,409,418,189,3014,105,5961,1941,265,2869,499,384,1993,5,710,523,169,842,4287,2,7,235,78,3575,1820,88,305,20,584
2,Asia,255306,472,513,3206,429,71819,1748,1967,562,330,6896,6173,800,2949,586,9836,3082,1050,1293,1415,916,356,6365,8557,7799,2954,292,2270,130,856,2573,877,13463,520,29539,5225,202,6070,1426,2497,6755,50,505,1556,297,1389,14808,16,157,851,410,9912,7309,243,1343,67,1625
3,Europe,65141,106,150,889,81,9885,861,1356,115,250,4394,1428,14,179,248,5301,538,226,169,369,147,207,1192,3851,2046,599,40,773,93,135,561,321,3925,198,9084,1398,46,1501,230,1139,1850,64,363,730,44,293,1995,4,10,250,131,1758,2597,69,427,47,464
4,North America,258371,281,172,7193,697,64403,2249,2182,393,482,41338,4464,15,125,927,6985,1666,687,1114,936,756,168,3910,7700,1698,948,219,955,76,931,3481,328,10938,2365,30595,3968,72,1395,1388,2038,3324,2150,1467,1491,105,890,26827,8,469,1197,106,4170,3601,102,900,85,1241
5,Oceania,3327,2,46,56,4,1329,61,23,3,10,87,77,6,112,16,51,22,8,15,7,10,14,21,72,36,21,3,24,7,9,34,8,42,10,176,48,2,31,14,85,41,0,5,54,2,15,110,2,3,85,5,74,261,6,13,12,38
6,South America,63063,2,65,394,55,5402,336,1382,86,186,15186,1760,4,89,89,978,272,61,147,194,153,44,1324,3338,342,305,43,244,24,81,369,173,7219,113,11030,1305,2,558,212,236,933,382,364,678,2,215,2510,2,7,522,30,2438,442,52,177,16,391
7,Unknown,206,0,0,5,0,22,2,2,0,0,21,6,0,3,0,9,3,0,2,0,0,0,17,10,10,1,0,2,0,1,2,1,10,1,22,5,0,3,0,3,2,0,1,1,0,1,15,0,0,1,0,3,0,0,0,0,19
