,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,4456.0,2941.0,1216.0,3893.0,1314.0,1333.0,262.0,1304.0,1382.0,4053.0,2815.0,3389.0,6260.0,3629.0,534.0
Asia Other,67227.0,10478.0,4343.0,14389.0,7532.0,5726.0,756.0,4252.0,3237.0,9953.0,7417.0,8460.0,13249.0,6961.0,5412.0
Europe,15318.0,2912.0,4995.0,16928.0,5042.0,4344.0,912.0,2559.0,1633.0,11446.0,6728.0,3156.0,10740.0,8953.0,1705.0
N.Amer. Other,14986.0,3411.0,22212.0,25932.0,1116.0,2022.0,351.0,1235.0,1889.0,1776.0,1609.0,3330.0,11684.0,8968.0,1350.0
Oceania,1921.0,239.0,87.0,128.0,333.0,255.0,41.0,62.0,37.0,85.0,77.0,113.0,120.0,122.0,275.0
S.Amer.,5116.0,1609.0,7746.0,11694.0,422.0,1056.0,98.0,568.0,669.0,1123.0,611.0,2364.0,7443.0,3084.0,569.0
Mexico,40510.0,12736.0,1039.0,1021.0,1892.0,6615.0,743.0,1563.0,651.0,5702.0,1112.0,882.0,834.0,337.0,1399.0
India,8092.0,3051.0,939.0,3507.0,843.0,594.0,86.0,948.0,1031.0,3555.0,2370.0,1925.0,6924.0,1777.0,308.0
China,12659.0,1047.0,363.0,7061.0,1049.0,630.0,93.0,424.0,336.0,1277.0,948.0,753.0,2512.0,1839.0,650.0
