,NaturalizedRegion2016,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,753060,2331,972,11374,1809,151830,8679,9317,1386,1736,88764,18866,711,3673,1533,26003,5113,2805,3050,3054,2846,983,19775,24577,13576,8573,990,4657,314,2405,8923,1501,40344,2524,93376,12492,1046,10029,3953,7173,17239,2514,2736,4159,647,5371,63945,305,719,3775,589,20437,21655,495,3825,233,1353
1,Africa,72338,267,57,884,101,5149,1295,649,292,671,2020,3218,5,33,110,2004,780,667,400,508,221,280,6253,3818,996,3320,88,816,33,514,552,165,3542,106,7124,1926,450,2479,430,539,2728,6,568,426,234,1163,6863,45,8,240,84,3747,2813,87,390,21,153
2,Asia,271733,1148,498,3314,670,75783,2788,2270,487,278,8158,7074,670,2991,505,10248,2311,1164,1272,1344,1208,324,6533,6903,8156,3314,451,1967,95,877,3238,592,13255,460,31226,4453,356,4722,1803,2725,7226,51,416,1397,253,2174,21424,143,118,1016,272,9175,9976,216,1648,68,529
3,Europe,74344,222,165,993,114,10432,1189,1760,118,260,5935,1722,11,203,263,6075,490,283,178,342,227,160,1356,3378,2220,716,80,830,79,102,696,268,4395,168,10503,1374,99,1283,260,1359,2426,67,271,712,64,495,2931,35,21,359,121,1665,4007,62,594,43,163
4,North America,259845,537,161,5789,830,53562,2815,2725,396,391,52549,4958,5,164,580,6552,1286,601,1044,724,968,163,4104,7436,1807,893,289,821,74,829,3966,321,11531,1684,32132,3480,127,1097,1231,2186,3748,2043,1176,1059,79,1198,28864,59,556,1363,81,3548,3800,92,948,79,344
5,Oceania,3953,6,48,61,7,1413,99,34,4,7,113,81,17,163,15,64,12,9,14,15,15,6,36,68,46,33,3,27,10,5,50,16,58,9,189,43,4,27,26,94,67,0,8,45,2,31,159,9,2,126,6,65,398,2,33,7,47
6,South America,70821,150,42,333,87,5490,493,1879,89,129,19988,1811,3,119,60,1058,234,81,142,121,207,50,1492,2974,350,297,79,196,23,77,421,139,7563,97,12201,1216,10,420,203,269,1044,347,297,520,2,310,3703,14,2,671,25,2235,661,2,212,15,110
7,Unknown,26,1,1,0,0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,7
