,NaturalizedCountry2015,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,730259,2834,964,13748,1576,155979,9423,9838,1633,1684,81960,20794,712,3698,1427,25722,4686,2574,2830,2846,2956,1102,18390,23554,12473,7533,946,4318,249,2221,7900,1570,34857,2452,90368,11569,561,9580,3858,6130,16554,2826,2728,4611,542,5381,65467,161,734,4838,570,18391,14341,501,3738,257,1104
1,Afghanistan,1589,2,0,43,0,563,24,19,4,0,18,57,0,2,19,20,4,0,2,4,4,6,38,8,9,4,2,14,0,6,14,2,56,5,174,19,2,10,3,12,28,0,2,6,0,8,77,0,0,22,0,252,18,0,3,0,9
2,Albania,3237,2,3,27,5,66,13,248,2,5,263,8,0,2,3,170,8,2,7,2,2,2,24,425,429,5,3,33,2,2,13,14,166,0,809,9,0,91,5,2,198,0,0,15,2,10,45,0,0,6,2,43,13,2,35,0,3
3,Algeria,943,0,2,3,0,182,8,6,0,5,40,26,0,0,0,61,8,2,10,2,8,0,13,65,19,6,0,2,0,0,2,2,53,0,161,18,0,38,2,3,79,0,2,3,0,4,58,0,0,2,2,38,7,2,3,0,1
4,American Samoa,296,0,13,0,0,38,5,0,0,0,2,11,0,38,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,3,8,0,0,12,5,2,0,0,29,0,2,5,11,0,22,0,11,28,0,0,0,45
5,Angola,132,0,0,3,0,5,2,2,0,2,7,9,0,0,0,2,0,2,0,0,0,0,3,32,0,2,0,0,0,2,0,0,8,0,9,6,0,2,2,0,3,0,4,2,0,0,22,0,0,0,0,3,2,0,2,0,0
6,Anguilla,31,0,0,0,0,2,0,0,0,0,10,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,10,0,0,2,0,0,0,0,0
7,Antigua-Barbuda,381,2,0,2,0,7,2,9,2,2,46,22,0,0,0,3,2,0,2,0,0,0,8,12,2,0,0,0,0,0,0,0,21,0,156,9,0,2,2,0,8,6,0,2,0,2,11,0,43,2,0,2,0,0,0,0,1
8,Argentina,3886,3,0,48,3,537,53,50,4,15,1331,80,0,23,8,85,14,4,9,6,14,4,80,51,20,25,5,13,0,4,50,4,200,7,373,49,2,25,17,31,49,34,4,25,0,14,247,0,2,98,4,106,38,0,17,2,0
9,Armenia,2874,2,0,7,0,2279,14,10,0,4,27,11,0,0,2,16,2,2,0,6,0,0,29,63,5,0,0,5,0,0,53,2,42,2,157,4,0,18,2,2,19,0,6,7,0,6,24,0,0,7,0,19,21,0,3,0,2
10,Aruba,37,0,0,0,0,0,0,0,0,0,10,3,0,0,0,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,2,0,2,0,9,0,0,0,2,0,0,2,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0
11,Australia,1379,8,6,30,6,319,69,16,2,10,62,45,2,21,5,48,15,6,6,3,9,3,23,34,25,13,2,10,3,2,25,4,41,7,143,28,0,16,8,31,22,2,2,11,2,12,88,0,2,23,2,33,61,2,9,2,3
12,Austria,207,2,0,5,0,52,8,2,2,0,20,6,0,0,0,4,2,0,2,0,2,2,4,11,3,3,0,2,0,2,2,2,11,2,18,5,0,2,0,2,4,0,0,2,0,4,10,0,0,6,0,5,4,2,0,0,0
13,Azerbaijan,568,2,0,3,2,185,4,6,0,0,26,9,0,0,2,11,2,0,2,6,0,8,12,18,12,2,0,5,0,2,2,2,13,0,126,2,0,15,2,5,16,0,2,2,0,5,26,0,0,4,0,6,28,0,2,0,0
14,Bahamas,570,5,0,3,0,15,3,2,2,2,336,53,0,0,0,11,2,2,2,0,5,0,15,6,2,2,0,2,0,2,2,0,10,2,25,10,0,2,5,2,4,0,2,3,0,3,21,0,2,0,0,8,2,0,2,0,0
15,Bahrain,79,2,0,0,0,10,2,0,0,0,10,5,0,2,0,6,2,0,0,0,0,0,2,2,4,0,0,0,0,2,2,0,11,0,3,2,0,0,3,2,2,0,0,2,0,0,7,0,0,2,0,2,0,0,2,0,0
16,Bangladesh,9750,32,3,70,8,534,12,178,14,13,455,283,0,3,2,78,19,6,26,9,39,3,195,184,546,21,2,34,0,2,24,5,624,3,4825,52,3,101,49,14,340,0,4,14,0,35,498,2,2,7,2,301,50,2,15,0,9
17,Barbados,646,2,2,5,0,20,4,11,3,3,71,23,0,0,0,9,0,0,0,2,2,2,16,71,2,0,0,2,0,0,4,0,29,0,281,13,0,5,2,0,22,0,0,2,0,2,27,2,2,2,0,10,2,2,0,0,1
18,Belarus,1710,8,0,6,0,269,44,52,13,2,112,32,0,0,3,89,6,2,2,3,2,4,21,102,12,56,0,8,2,2,4,3,74,4,357,21,0,39,2,33,108,0,2,23,2,6,31,2,0,2,0,49,86,0,11,2,2
19,Belgium,505,2,3,13,0,84,11,10,2,4,52,23,0,2,2,14,6,0,2,0,3,3,14,15,26,2,0,4,2,2,4,0,18,0,64,10,0,6,2,5,10,0,0,2,2,3,44,0,0,4,3,18,9,2,2,0,2
20,Belize,851,2,0,7,2,319,2,2,0,0,64,14,0,0,0,90,3,2,2,3,9,0,3,3,5,3,3,5,0,0,17,0,19,2,125,9,0,3,7,6,7,2,0,7,0,9,84,0,0,0,0,10,2,2,3,0,0
21,Benin,310,2,0,2,4,3,9,2,0,6,3,21,0,0,0,25,16,2,2,0,2,0,31,12,2,7,0,2,0,10,4,0,3,0,44,10,0,9,6,2,18,0,0,11,0,3,17,2,0,2,0,22,0,0,2,0,0
22,Bermuda,66,2,0,2,0,3,2,2,0,0,13,12,0,0,0,0,2,0,0,0,0,0,4,4,0,0,2,2,0,0,0,0,4,0,7,3,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0
23,Bhutan,4562,0,6,124,0,78,201,2,0,0,2,289,0,0,46,118,0,90,37,133,0,0,77,135,69,91,0,56,0,13,8,165,2,5,394,109,60,676,0,54,607,0,20,0,48,48,323,0,0,166,87,103,115,0,5,0,1
24,Bolivia,1689,4,0,9,0,173,17,20,2,12,264,16,0,2,0,20,2,5,2,5,4,2,139,26,5,3,2,4,0,0,8,2,59,2,122,9,0,3,5,4,6,7,42,17,0,4,92,2,0,34,0,520,9,0,5,2,3
25,Bosnia-Herzegovina,3304,4,0,134,0,109,41,131,2,0,233,231,0,2,49,198,70,202,2,149,13,3,17,33,157,30,3,425,0,21,34,46,33,0,215,37,26,73,0,31,122,0,2,4,3,23,137,0,0,49,15,90,57,2,48,0,1
26,Botswana,28,0,0,2,0,3,0,2,0,0,4,3,0,0,0,2,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0
27,Brazil,10516,50,7,74,17,1110,105,447,8,21,2522,420,2,46,15,146,39,19,32,26,42,12,174,1767,80,44,14,45,5,12,90,59,719,13,753,137,2,68,30,41,130,14,31,89,8,55,486,2,2,149,11,170,106,6,28,4,13
28,British Virgin Islands,59,0,0,0,0,2,0,2,0,0,12,9,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,2,0,0,2,0,0,2,0,13,0,0,2,2,0,0,0,0
29,Brunei,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
