,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,7047.0,8459.0,2601.0,9952.0,3868.0,5225.0,1918.0,6026.0,6057.0,8501.0,5974.0,8019.0,18371.0,8149.0,193.0
Asia Other,79909.0,23767.0,9644.0,33738.0,11687.0,15818.0,3663.0,12818.0,11009.0,15478.0,16928.0,16112.0,25734.0,10934.0,7893.0
Europe,11544.0,3940.0,7325.0,13052.0,3674.0,3861.0,724.0,2636.0,2784.0,8507.0,4673.0,4255.0,9845.0,6369.0,642.0
N.Amer. Other,15543.0,7526.0,58094.0,41998.0,1827.0,4348.0,1036.0,3580.0,4980.0,2829.0,2671.0,5905.0,23112.0,13391.0,2811.0
Oceania,1857.0,238.0,174.0,379.0,365.0,489.0,58.0,188.0,125.0,185.0,136.0,152.0,231.0,174.0,226.0
S.Amer.,6542.0,4527.0,24083.0,15254.0,798.0,2706.0,325.0,1489.0,3156.0,2279.0,1319.0,4424.0,12558.0,5976.0,648.0
Mexico,49774.0,36648.0,3434.0,1784.0,3908.0,17566.0,1821.0,6211.0,3740.0,9259.0,2897.0,3265.0,2360.0,571.0,208.0
India,15061.0,5907.0,1855.0,4805.0,2655.0,1927.0,339.0,2516.0,3003.0,5946.0,3856.0,4535.0,12891.0,3661.0,50.0
China,23117.0,3365.0,1910.0,27358.0,2684.0,2545.0,457.0,2293.0,2042.0,3825.0,2710.0,2818.0,6568.0,4128.0,1111.0
