,Geographic area,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
44,"Cape Coral-Fort Myers, FL",2024.0,2365.0,2284.0,1702.0,1694.0,1816.0,1208.0,1958.0,2491.0,2030.0
45,"McAllen-Edinburg-Mission, TX",1775.0,1751.0,1690.0,1872.0,1888.0,1978.0,2345.0,2394.0,3827.0,1964.0
46,"Richmond, VA",1770.0,2012.0,2180.0,2099.0,1880.0,2277.0,2193.0,1803.0,2023.0,1892.0
47,"Virginia Beach-Norfolk-Newport News, VA-NC",1887.0,2075.0,1820.0,2080.0,1912.0,1887.0,1796.0,1954.0,2190.0,1883.0
48,"Bakersfield, CA",2098.0,1677.0,2372.0,1885.0,2148.0,1863.0,2650.0,3196.0,2772.0,1844.0
49,"New Orleans-Metairie, LA",1299.0,1153.0,1274.0,1297.0,1349.0,1349.0,1062.0,1468.0,1476.0,1837.0
50,"Urban Honolulu, HI",2684.0,2418.0,2673.0,2248.0,2755.0,2814.0,2851.0,1965.0,3281.0,1833.0
51,Other CBSAs,126592.0,135156.0,135882.0,121686.0,134143.0,137407.0,136270.0,154719.0,165442.0,120742.0
52,Other metropolitan areas,113235.0,121191.0,121895.0,109307.0,120065.0,122859.0,122385.0,138409.0,147487.0,107316.0
53,Other micropolitan areas,13357.0,13965.0,13987.0,12379.0,14078.0,14548.0,13885.0,16310.0,17955.0,13426.0
54,Non-CBSA,7365.0,7220.0,6818.0,6094.0,6609.0,6932.0,6677.0,7286.0,8517.0,6186.0
55,Unknown,6424.0,2780.0,2100.0,1150.0,1104.0,1354.0,4363.0,6456.0,15933.0,7914.0
