,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,3855.0,3445.0,1277.0,3713.0,1351.0,1862.0,545.0,1829.0,2492.0,5171.0,2737.0,2837.0,6275.0,3675.0,565.0
Asia Other,59596.0,11476.0,4511.0,11888.0,6170.0,6785.0,889.0,4205.0,4931.0,10896.0,6440.0,6675.0,12795.0,5403.0,5072.0
Europe,13265.0,2972.0,5007.0,12163.0,5013.0,4384.0,943.0,3407.0,2284.0,12311.0,5627.0,2748.0,9027.0,6341.0,1161.0
N.Amer. Other,18330.0,5578.0,29883.0,24444.0,1257.0,3053.0,490.0,1575.0,3181.0,2683.0,1789.0,3223.0,12126.0,8092.0,1512.0
Oceania,1565.0,119.0,86.0,118.0,296.0,257.0,26.0,72.0,59.0,97.0,49.0,105.0,121.0,86.0,266.0
S.Amer.,5041.0,2293.0,10413.0,10838.0,481.0,1525.0,153.0,694.0,1191.0,1636.0,753.0,2095.0,7363.0,2727.0,624.0
Mexico,57865.0,21440.0,1702.0,1020.0,3183.0,12936.0,1362.0,3138.0,1903.0,12388.0,1627.0,1252.0,1066.0,298.0,1025.0
India,10500.0,4129.0,1197.0,2935.0,1361.0,1094.0,185.0,1401.0,1787.0,5147.0,3543.0,2483.0,8649.0,2050.0,382.0
China,11609.0,1404.0,426.0,6538.0,1128.0,851.0,116.0,597.0,555.0,1918.0,1276.0,838.0,3129.0,1934.0,751.0
