"","X","NATZin","NATZs"
"1","Africa","CA",6002
"2","Africa","TX",7893
"3","Africa","FL",2338
"4","Africa","NY",7455
"5","Africa","WA.OR",2579
"6","Africa","AZ.NM.NV.UT.CO",3441
"7","Africa","MT.WY.ID.ND.SD.NE",1479
"8","Africa","KS.OK.MO.AR.IA.TN.KY",4639
"9","Africa","LA.MS.AL.GA",3103
"10","Africa","MN.WI.IL",6159
"11","Africa","IN.MI.OH.WV",4766
"12","Africa","SC.NC.VA",5530
"13","Africa","MD.DC.DE.PA.NJ",13374
"14","Africa","CT.RI.MA.NH.VT.ME",6110
"15","Africa","Other",1137
"16","Asia Other","CA",61049
"17","Asia Other","TX",18733
"18","Asia Other","FL",7678
"19","Asia Other","NY",21327
"20","Asia Other","WA.OR",8537
"21","Asia Other","AZ.NM.NV.UT.CO",10359
"22","Asia Other","MT.WY.ID.ND.SD.NE",2366
"23","Asia Other","KS.OK.MO.AR.IA.TN.KY",8015
"24","Asia Other","LA.MS.AL.GA",5661
"25","Asia Other","MN.WI.IL",9914
"26","Asia Other","IN.MI.OH.WV",11454
"27","Asia Other","SC.NC.VA",11376
"28","Asia Other","MD.DC.DE.PA.NJ",18465
"29","Asia Other","CT.RI.MA.NH.VT.ME",7765
"30","Asia Other","Other",6258
"31","Europe","CA",12821
"32","Europe","TX",3496
"33","Europe","FL",8091
"34","Europe","NY",10838
"35","Europe","WA.OR",3951
"36","Europe","AZ.NM.NV.UT.CO",3782
"37","Europe","MT.WY.ID.ND.SD.NE",702
"38","Europe","KS.OK.MO.AR.IA.TN.KY",2023
"39","Europe","LA.MS.AL.GA",1645
"40","Europe","MN.WI.IL",6928
"41","Europe","IN.MI.OH.WV",3464
"42","Europe","SC.NC.VA",3276
"43","Europe","MD.DC.DE.PA.NJ",8367
"44","Europe","CT.RI.MA.NH.VT.ME",6527
"45","Europe","Other",1167
"46","N.Amer. Other","CA",16883
"47","N.Amer. Other","TX",9047
"48","N.Amer. Other","FL",63139
"49","N.Amer. Other","NY",28090
"50","N.Amer. Other","WA.OR",1743
"51","N.Amer. Other","AZ.NM.NV.UT.CO",4601
