"","X","LPRin","LPRs"
"1","Africa","CA",4898
"2","Africa","TX",8264
"3","Africa","FL",2101
"4","Africa","NY",6652
"5","Africa","WA.OR",2696
"6","Africa","AZ.NM.NV.UT.CO",4394
"7","Africa","MT.WY.ID.ND.SD.NE",1711
"8","Africa","KS.OK.MO.AR.IA.TN.KY",7194
"9","Africa","LA.MS.AL.GA",3912
"10","Africa","MN.WI.IL",7095
"11","Africa","IN.MI.OH.WV",6235
"12","Africa","SC.NC.VA",5365
"13","Africa","MD.DC.DE.PA.NJ",10831
"14","Africa","CT.RI.MA.NH.VT.ME",5142
"15","Africa","Other",116
"16","Asia Other","CA",48461
"17","Asia Other","TX",17910
"18","Asia Other","FL",6515
"19","Asia Other","NY",19263
"20","Asia Other","WA.OR",8515
"21","Asia Other","AZ.NM.NV.UT.CO",8202
"22","Asia Other","MT.WY.ID.ND.SD.NE",2197
"23","Asia Other","KS.OK.MO.AR.IA.TN.KY",7849
"24","Asia Other","LA.MS.AL.GA",7168
"25","Asia Other","MN.WI.IL",10151
"26","Asia Other","IN.MI.OH.WV",12234
"27","Asia Other","SC.NC.VA",11403
"28","Asia Other","MD.DC.DE.PA.NJ",14621
"29","Asia Other","CT.RI.MA.NH.VT.ME",6987
"30","Asia Other","Other",3275
"31","Europe","CA",12387
"32","Europe","TX",3756
"33","Europe","FL",5988
"34","Europe","NY",10191
"35","Europe","WA.OR",4851
"36","Europe","AZ.NM.NV.UT.CO",2882
"37","Europe","MT.WY.ID.ND.SD.NE",586
"38","Europe","KS.OK.MO.AR.IA.TN.KY",1983
"39","Europe","LA.MS.AL.GA",1697
"40","Europe","MN.WI.IL",6459
"41","Europe","IN.MI.OH.WV",3410
"42","Europe","SC.NC.VA",3377
"43","Europe","MD.DC.DE.PA.NJ",6457
"44","Europe","CT.RI.MA.NH.VT.ME",4552
"45","Europe","Other",418
"46","N.Amer. Other","CA",11843
"47","N.Amer. Other","TX",8219
"48","N.Amer. Other","FL",28070
"49","N.Amer. Other","NY",24521
"50","N.Amer. Other","WA.OR",1795
"51","N.Amer. Other","AZ.NM.NV.UT.CO",3278
"52","N.Amer. Other","MT.WY.ID.ND.SD.NE",764
"53","N.Amer. Other","KS.OK.MO.AR.IA.TN.KY",3309
"54","N.Amer. Other","LA.MS.AL.GA",3757
"55","N.Amer. Other","MN.WI.IL",2183
"56","N.Amer. Other","IN.MI.OH.WV",2352
"57","N.Amer. Other","SC.NC.VA",5560
"58","N.Amer. Other","MD.DC.DE.PA.NJ",15510
"59","N.Amer. Other","CT.RI.MA.NH.VT.ME",9090
"60","N.Amer. Other","Other",1692
