,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,4898.0,8264.0,2101.0,6652.0,2696.0,4394.0,1711.0,7194.0,3912.0,7095.0,6235.0,5365.0,10831.0,5142.0,116.0
Asia Other,48461.0,17910.0,6515.0,19263.0,8515.0,8202.0,2197.0,7849.0,7168.0,10151.0,12234.0,11403.0,14621.0,6987.0,3275.0
Europe,12387.0,3756.0,5988.0,10191.0,4851.0,2882.0,586.0,1983.0,1697.0,6459.0,3410.0,3377.0,6457.0,4552.0,418.0
N.Amer. Other,11843.0,8219.0,28070.0,24521.0,1795.0,3278.0,764.0,3309.0,3757.0,2183.0,2352.0,5560.0,15510.0,9090.0,1692.0
Oceania,1295.0,223.0,133.0,434.0,360.0,208.0,39.0,122.0,95.0,168.0,159.0,105.0,197.0,129.0,138.0
S.Amer.,4911.0,4583.0,18034.0,8590.0,979.0,2658.0,277.0,1589.0,2056.0,2275.0,2018.0,2878.0,6355.0,4476.0,462.0
Mexico,30166.0,24358.0,2627.0,1952.0,3749.0,12672.0,1234.0,4700.0,2734.0,7516.0,2950.0,2967.0,1887.0,558.0,255.0
India,9569.0,5057.0,1417.0,2663.0,2182.0,1349.0,204.0,1924.0,2376.0,3918.0,2946.0,2944.0,7586.0,2180.0,48.0
China,15383.0,2141.0,855.0,7452.0,2392.0,1299.0,162.0,864.0,889.0,1852.0,1354.0,1223.0,3159.0,1951.0,507.0
