,NaturalizedCountry2019,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,843593,2982,1144,14277,2327,148765,10840,8460,1547,2090,96149,25858,578,4110,1660,30472,7386,4984,3875,4723,3130,1076,19349,22894,16464,14092,1138,5501,361,3662,9046,1585,36661,3363,85444,17314,719,14004,3790,6715,21014,1127,2312,3995,780,6720,97675,367,797,5365,614,23345,18510,492,5692,330,15923
1,Afghanistan,2794,5,0,55,0,823,59,21,4,13,44,83,0,0,24,35,19,10,6,16,2,18,51,25,18,13,2,26,0,19,20,2,45,23,249,51,0,32,2,24,51,0,2,7,3,13,177,2,0,33,0,534,61,0,6,3,67
2,Albania,2778,0,2,23,0,52,7,149,4,2,268,16,0,4,4,169,6,4,2,2,2,4,25,333,396,6,0,36,2,0,15,15,138,0,562,22,2,72,4,3,202,2,0,15,2,9,69,2,0,6,2,34,13,0,32,2,46
3,Algeria,1235,4,0,4,0,135,33,19,0,2,49,24,0,0,2,83,27,2,48,12,13,2,11,58,26,6,0,12,0,2,0,2,74,2,102,32,0,71,3,3,163,2,2,2,0,4,116,0,0,2,0,40,17,0,8,0,25
4,American Samoa,279,2,17,3,0,39,3,2,0,0,2,7,2,38,2,2,2,0,2,2,4,0,0,2,0,0,0,2,0,0,2,0,0,2,3,17,0,2,4,3,0,0,0,3,0,2,23,2,2,19,0,4,48,0,0,0,21
5,Andorra,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Angola,136,0,0,2,0,8,2,2,0,4,6,2,0,0,0,3,0,0,0,2,2,2,3,25,0,0,0,0,2,0,2,0,7,2,12,4,0,4,2,0,5,0,4,0,0,0,24,0,0,2,2,5,2,0,0,0,4
7,Anguilla,25,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2
8,Antigua and Barbuda,386,2,0,2,0,4,0,5,3,0,56,21,0,0,0,2,2,0,0,0,2,0,5,9,2,2,0,3,0,0,0,0,27,0,122,16,0,2,0,2,12,0,0,3,0,2,17,0,52,0,0,5,2,0,2,0,10
9,Argentina,3956,5,2,21,9,452,57,64,6,23,1481,79,0,11,2,64,10,9,8,7,10,4,67,56,32,37,4,17,2,2,29,5,157,2,286,64,0,27,9,15,67,20,4,23,3,20,359,2,0,85,2,108,38,0,20,2,71
