,NaturalizedCountry2019,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
10,Armenia,2327,2,0,4,0,1793,15,5,0,2,32,6,0,2,2,6,2,3,2,3,2,2,18,39,10,6,0,2,0,2,46,2,34,2,115,11,0,15,0,5,19,0,5,12,0,3,32,2,0,8,0,13,22,0,4,0,26
11,Aruba,54,2,0,2,0,2,0,2,0,2,17,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,13,2,0,2,0,0,2,2,0,0,0,2,6,0,2,0,0,0,2,0,0,0,0
12,Australia,1838,17,7,39,10,383,77,25,3,9,98,56,2,21,8,54,11,16,8,9,10,9,26,48,35,24,2,14,6,5,29,8,39,9,182,52,0,23,5,28,40,2,5,12,0,32,155,0,2,32,4,44,59,0,14,2,31
13,Austria,214,2,2,8,2,35,7,2,2,2,35,6,0,2,0,2,2,0,2,2,2,2,8,4,5,3,0,2,2,2,2,0,7,0,28,7,0,2,0,3,2,0,0,2,0,2,9,2,0,2,0,5,6,0,2,0,4
14,Azerbaijan,597,0,0,8,0,122,10,2,0,4,25,6,0,0,2,23,4,0,5,3,2,0,13,10,9,3,2,5,0,0,2,2,15,0,152,14,2,6,0,6,15,0,2,0,2,2,44,0,0,4,0,24,40,0,3,0,13
15,Bahamas,640,10,2,4,4,12,6,3,0,2,366,66,0,3,2,8,2,2,0,2,3,0,7,8,3,4,3,3,0,2,2,0,7,0,22,15,0,7,0,2,9,0,2,4,0,6,29,0,0,2,0,2,2,2,2,0,6
16,Bahrain,116,2,0,2,2,12,2,0,0,0,0,6,0,0,0,10,0,0,3,2,2,0,2,2,4,2,0,2,0,0,0,0,7,2,9,3,2,2,2,2,8,0,0,2,0,0,21,0,0,2,0,4,2,0,2,0,2
17,Bangladesh,9067,26,0,48,15,436,18,117,14,13,430,277,2,5,2,98,19,4,37,5,14,7,177,180,718,58,4,16,2,3,31,2,451,8,4064,65,0,50,23,26,312,0,2,10,2,26,632,2,3,2,2,400,34,2,22,0,153
18,Barbados,625,3,0,2,0,15,0,7,0,3,85,33,0,0,0,2,4,0,0,3,2,2,13,46,3,3,0,0,0,0,3,0,32,0,272,17,0,5,0,2,28,0,2,4,0,3,14,0,0,0,0,10,2,0,2,0,9
19,Belarus,1730,3,3,15,0,232,39,19,5,6,152,40,0,2,3,100,9,3,4,5,2,2,33,74,18,68,0,8,5,2,10,4,76,3,333,42,0,26,2,18,120,0,5,20,0,4,46,0,0,4,0,45,78,2,17,0,26
20,Belgium,575,2,2,10,2,85,13,9,2,6,56,31,0,2,5,17,4,2,4,2,7,3,15,20,14,3,2,6,2,2,8,2,28,2,67,12,0,9,0,8,20,2,0,3,2,8,50,3,0,3,0,11,7,0,2,2,8
21,Belize,950,3,2,10,2,283,5,2,0,0,91,18,0,2,2,86,8,0,2,2,8,0,4,4,5,3,3,8,0,0,17,0,25,4,118,14,0,2,4,2,19,0,2,4,0,6,145,0,0,2,0,7,13,0,2,0,16
22,Benin,343,0,2,2,2,8,12,2,2,2,6,22,0,0,0,35,14,13,3,2,3,2,27,5,3,12,0,2,0,19,0,0,5,0,30,13,2,16,0,0,23,0,0,2,0,5,22,0,0,0,0,20,0,0,3,2,8
23,Bermuda,64,2,0,2,0,4,0,2,0,0,9,7,0,2,0,0,0,0,0,2,2,0,6,4,2,0,0,0,0,0,2,0,3,0,5,2,0,2,0,0,4,0,0,0,0,0,3,0,0,2,0,5,0,0,0,0,0
24,Bhutan,6920,0,2,40,0,18,139,5,0,0,3,243,0,0,30,96,8,200,62,292,0,0,103,218,124,134,0,108,0,117,9,79,5,0,418,267,104,2058,0,21,912,0,4,0,119,83,351,0,2,84,104,123,96,2,33,0,106
25,Bolivia,1679,4,2,3,2,137,15,18,2,8,248,14,0,0,0,29,4,3,4,3,7,0,109,22,6,10,0,10,0,2,9,2,48,3,104,18,2,7,7,7,11,0,32,2,0,12,135,2,0,26,2,528,8,2,10,0,46
26,Bosnia and Herzegovina,1709,5,0,59,2,50,21,56,2,2,121,115,0,2,18,124,27,128,2,49,10,4,8,18,131,35,0,162,2,9,15,12,37,2,74,25,10,37,4,8,52,0,0,4,2,16,101,2,0,28,7,32,37,2,24,0,23
27,Botswana,41,0,0,0,0,2,0,2,0,2,3,5,0,0,0,2,2,0,0,0,0,0,3,4,0,0,0,2,0,2,0,0,0,0,3,2,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,2
28,Brazil,10451,59,5,85,12,973,132,273,17,25,2495,482,0,44,7,180,44,38,26,26,57,16,190,1264,107,78,11,42,16,10,80,88,701,15,617,192,2,108,32,50,198,7,38,70,2,70,685,8,0,178,7,193,133,8,49,3,202
29,Brunei,26,0,0,2,0,6,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,0,0,0,0,0,5,0,0,0,0,2,2,0,0,0,2
30,Bulgaria,2251,7,8,35,7,224,46,15,13,7,216,71,0,5,3,487,13,7,7,2,9,12,49,107,19,24,0,23,5,2,77,6,97,2,179,41,0,22,6,10,69,2,2,16,2,12,72,2,0,15,2,70,60,2,31,2,33
31,Burkina Faso,426,2,0,3,3,13,9,2,0,4,2,21,0,2,0,7,4,2,3,2,0,2,29,8,4,4,0,2,2,17,2,2,19,0,116,11,2,20,2,3,14,2,0,2,0,2,48,0,0,0,0,17,9,0,5,0,14
32,Burma,11674,5,2,145,42,440,171,23,3,2,259,476,0,13,40,318,1561,645,198,348,31,2,281,73,336,1062,2,170,3,488,20,3,37,5,710,515,2,235,341,106,184,0,2,80,90,211,1265,0,2,84,11,73,160,11,239,2,148
33,Burundi,394,2,0,30,0,4,6,4,0,0,3,6,0,0,4,20,2,43,2,19,2,20,10,5,9,2,0,6,0,2,0,7,3,0,15,8,3,13,0,3,11,0,2,6,12,6,79,0,0,7,0,5,6,0,2,0,8
34,Cabo Verde,1316,2,0,0,0,6,0,30,0,0,20,9,0,0,2,0,0,0,0,0,0,2,0,962,0,0,0,0,0,0,0,2,4,0,8,3,0,0,0,0,6,0,228,2,0,2,2,0,0,3,0,2,0,0,2,0,25
35,Cambodia,2877,16,2,27,22,748,34,31,2,0,65,74,0,4,0,34,21,17,16,57,21,21,32,345,19,143,9,19,2,2,14,7,6,2,41,36,2,36,10,31,153,0,54,22,2,28,272,2,0,17,0,71,227,0,18,2,47
36,Cameroon,3197,11,4,30,16,107,18,4,31,51,48,167,0,3,2,70,23,25,16,19,12,5,829,112,51,98,4,23,2,13,6,2,58,13,86,80,15,120,83,11,73,0,2,19,0,15,540,2,0,6,0,126,15,4,18,2,110
37,Canada,11059,74,30,342,40,1542,277,127,7,38,1113,384,0,66,57,299,111,50,38,53,39,59,134,305,487,187,22,80,45,26,119,65,238,37,777,348,24,222,55,153,268,2,36,121,7,141,1074,2,4,125,43,224,594,12,99,20,215
38,Cayman Islands,35,0,0,0,0,3,2,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,2,2,2,0,3,0,0,0,0,0,0,0,0,0,3
39,Central African Republic,120,2,0,4,0,4,7,0,0,6,2,8,0,0,2,5,0,4,0,2,0,2,12,6,6,2,0,2,0,2,0,0,2,0,14,5,2,3,0,2,3,0,0,0,0,0,4,0,0,2,0,2,2,0,2,0,8
40,Chad,90,0,0,2,0,2,2,0,0,0,2,0,0,0,0,5,12,4,0,0,0,0,8,0,2,2,0,2,0,2,0,0,4,0,14,2,2,4,0,0,7,0,0,0,0,0,12,0,0,2,0,2,2,0,0,0,3
41,Chile,1784,6,0,33,5,213,29,25,5,11,426,65,0,4,5,22,2,3,3,6,5,4,50,38,20,14,3,12,2,4,16,4,92,5,164,47,0,11,6,22,30,4,4,13,0,14,123,2,2,72,2,60,43,2,14,0,21
42,"China, People's Republic",39490,135,23,323,74,10875,397,285,89,57,939,851,18,320,60,1272,277,142,138,127,138,31,820,1574,554,441,64,253,13,64,401,71,1083,73,8527,555,12,530,144,402,1130,19,59,141,10,223,2782,11,14,147,18,793,1162,29,218,15,567
43,Colombia,17126,38,4,121,22,805,116,295,28,33,6189,709,2,10,12,264,52,23,28,46,60,7,210,439,54,47,17,36,2,21,121,42,1576,29,2056,407,3,75,46,51,279,72,99,203,4,79,1424,4,2,95,3,304,102,9,57,6,289
44,Comoros,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"Congo, Democratic Republic",2877,10,2,79,0,79,85,49,2,3,28,115,0,2,39,119,36,181,27,147,7,38,97,68,81,36,0,38,0,9,11,38,17,8,124,242,20,106,3,20,60,0,8,7,12,38,499,0,0,30,13,86,65,2,19,2,72
46,"Congo, Republic",351,2,0,11,0,10,17,2,0,0,5,10,0,0,2,25,4,7,2,7,2,6,15,3,16,7,0,0,0,2,0,0,11,2,36,11,0,11,0,2,10,0,2,2,0,6,62,0,0,5,0,5,6,0,2,0,28
47,Cook Islands,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Costa Rica,1859,7,3,29,3,162,27,19,2,6,367,75,0,5,4,22,20,3,5,4,12,2,36,30,17,17,3,11,2,2,15,2,260,3,117,112,0,15,7,15,42,5,5,36,0,21,164,0,2,14,0,51,15,5,16,2,44
49,Cote d'Ivoire,1206,3,2,16,2,34,19,11,8,9,20,93,0,2,3,23,13,14,2,9,4,2,94,37,11,28,0,10,2,15,10,5,52,0,227,40,7,42,4,2,63,0,11,6,3,12,118,2,0,8,0,35,21,0,8,2,47
50,Croatia,412,2,0,10,2,52,9,3,2,2,39,20,0,2,2,22,8,11,2,3,2,2,5,9,11,4,2,11,0,2,7,2,11,0,48,6,0,19,3,2,11,2,0,2,2,6,28,0,0,2,0,10,3,2,10,0,7
51,Cuba,36246,23,3,180,6,326,68,27,6,15,29570,283,0,3,4,90,35,25,31,550,95,4,31,65,79,24,14,60,4,82,585,4,524,62,386,243,5,42,23,74,129,106,5,40,7,68,1589,2,2,21,0,101,49,2,38,2,436
52,Curacao,30,0,0,0,0,2,0,0,0,0,8,2,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,5,2,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0
53,Cyprus,115,0,0,2,0,11,3,2,0,2,13,4,0,0,0,5,2,0,2,0,0,0,2,4,4,2,0,0,0,0,0,0,8,2,24,2,0,2,2,0,2,0,0,4,0,3,7,0,0,2,0,4,2,0,0,0,0
54,Czechia,600,6,4,6,2,85,24,5,0,3,95,27,0,5,3,55,2,2,3,5,2,2,8,19,9,2,0,3,3,2,7,5,18,2,47,20,0,3,0,5,20,0,2,3,0,10,31,0,0,3,4,15,15,2,2,0,9
55,Czechoslovakia (former),325,3,2,15,2,45,13,2,0,2,40,18,0,2,2,15,2,0,2,0,2,2,3,10,6,3,2,5,2,0,6,2,16,0,19,8,2,6,2,3,13,0,0,2,0,4,16,0,0,5,0,7,9,0,4,0,12
56,Denmark,656,2,0,17,2,145,14,10,2,2,61,28,0,2,2,18,6,4,0,8,4,3,8,20,9,13,0,5,2,2,9,2,26,2,43,16,0,6,2,16,16,0,2,6,0,5,54,0,2,5,2,19,22,0,7,2,10
57,Djibouti,96,0,0,0,0,0,4,0,0,0,0,3,0,0,2,3,2,2,2,6,0,8,0,2,0,37,0,0,0,0,0,0,0,0,5,0,0,4,0,0,2,0,0,0,2,2,5,0,0,0,0,2,6,0,0,0,2
58,Dominica,740,0,2,0,0,9,2,5,2,2,114,50,0,0,0,5,0,0,0,2,0,0,26,12,4,2,0,2,0,0,2,0,56,0,132,7,0,2,2,0,10,2,2,2,0,4,54,0,147,2,0,11,4,0,0,0,70
59,Dominican Republic,23101,25,42,35,8,110,23,467,38,49,2685,272,2,5,3,102,62,7,17,13,83,5,239,2060,80,39,27,34,2,8,37,98,3379,3,8546,330,2,132,12,16,1534,634,547,57,0,39,271,4,97,29,4,124,24,5,50,2,584
60,Ecuador,7731,10,5,25,7,292,19,316,12,23,1110,105,0,5,2,244,18,22,8,10,14,4,86,94,11,141,4,10,0,7,24,6,1408,9,2530,195,2,42,5,14,142,12,15,32,2,28,294,0,0,80,0,82,25,3,12,0,167
61,Egypt,8311,25,2,52,7,1503,17,44,19,18,706,95,0,2,2,164,96,33,20,37,27,5,109,232,110,75,4,19,2,11,28,13,1289,5,866,180,0,155,12,50,360,2,9,52,2,474,570,3,2,7,2,477,105,4,24,2,187
62,El Salvador,18260,28,14,128,204,5343,148,64,12,167,649,443,0,2,14,124,100,73,82,19,35,8,1373,453,42,118,12,59,0,88,321,7,514,19,1594,500,5,66,32,58,81,8,18,37,14,95,2951,2,0,144,0,1427,145,8,16,2,393
63,Equatorial Guinea,15,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,2,0,0,0,0,2
64,Eritrea,1951,2,0,27,0,203,69,7,2,54,19,88,0,0,11,27,30,76,17,17,2,0,86,31,14,59,2,40,0,7,40,0,9,3,46,86,3,85,11,24,25,0,6,5,27,18,315,0,0,11,0,143,152,5,18,0,31
65,Estonia,210,0,0,4,0,18,3,5,0,2,23,7,0,2,2,9,2,0,4,0,2,0,7,7,2,2,0,2,2,2,0,0,10,0,36,10,0,5,2,4,6,0,2,3,0,0,6,0,0,2,0,8,16,0,0,0,2
66,Eswatini (formerly Swaziland),25,0,0,2,0,4,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0
67,Ethiopia,9065,21,3,82,4,606,426,13,5,351,98,565,0,2,12,162,48,94,71,58,10,8,901,164,51,949,7,96,2,46,270,2,38,4,114,132,12,268,25,80,133,2,4,6,73,183,891,7,0,15,3,958,621,9,38,3,322
68,Falkland Islands,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Fiji,778,0,2,9,0,561,4,0,0,0,9,2,0,7,0,2,0,0,0,2,0,0,4,0,2,2,0,4,0,2,10,0,5,3,8,2,0,7,0,25,4,0,0,0,0,0,12,0,0,7,0,7,61,2,4,0,13
70,Finland,343,2,3,8,2,73,9,7,0,3,43,11,0,2,2,8,3,2,0,2,5,4,12,5,4,7,2,3,2,0,3,0,8,2,28,8,0,4,0,3,3,0,0,2,2,0,37,0,0,2,0,6,9,0,7,2,2
71,France,3315,6,2,32,4,704,51,24,2,26,401,103,0,12,9,93,16,8,7,11,10,3,68,140,50,52,3,17,2,4,31,10,123,15,440,76,0,31,7,32,84,6,12,28,0,17,261,2,6,21,6,68,99,4,19,2,57
72,French Polynesia,18,0,0,0,0,2,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
73,Gabon,113,0,2,2,2,6,5,0,0,2,2,11,0,0,0,2,0,0,2,2,0,2,2,3,2,0,0,2,0,5,0,0,2,0,11,4,0,4,0,0,2,0,0,0,0,2,29,0,0,0,0,4,6,0,0,0,2
74,Gambia,729,3,5,5,3,12,4,2,0,3,8,97,0,0,2,6,3,5,6,13,2,0,46,13,11,25,5,4,0,5,0,0,8,0,122,34,2,42,2,2,17,0,16,2,0,13,38,0,0,0,0,19,78,0,30,0,21
75,Georgia,973,0,0,2,0,97,6,21,0,8,39,15,0,0,0,18,2,0,2,2,2,0,28,10,5,4,2,2,0,2,4,2,100,0,422,11,0,17,0,5,66,0,0,2,0,3,19,0,0,4,0,20,20,0,0,0,16
76,Germany,4745,56,13,97,19,696,158,36,9,15,500,200,0,34,13,154,44,21,24,37,29,14,85,123,129,54,14,70,8,12,42,13,123,29,312,156,3,81,33,46,132,2,7,85,6,69,386,12,2,35,13,159,144,11,61,6,114
77,Ghana,6936,15,2,46,5,178,136,169,56,20,109,428,0,5,3,227,49,25,18,37,10,7,571,383,51,116,4,44,2,15,24,11,615,7,1146,171,29,479,37,18,189,0,17,12,2,64,440,8,0,14,8,625,51,8,29,2,201
78,Gibraltar,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
79,Greece,1137,4,0,7,0,86,8,23,8,2,89,22,0,2,2,73,15,2,2,6,9,5,35,98,21,4,2,8,0,0,8,8,67,2,227,26,0,17,4,2,62,0,6,13,2,5,49,2,0,2,2,31,16,2,10,2,45
80,Greenland,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
81,Grenada,640,2,0,0,2,11,0,7,0,5,45,20,0,0,0,3,2,2,2,2,0,0,23,6,3,2,0,0,0,2,2,0,19,0,405,8,0,3,2,0,11,0,2,2,0,2,24,0,4,0,0,11,3,0,2,0,11
82,Guam,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Guatemala,8948,73,10,120,49,2922,84,130,16,18,670,271,2,2,10,285,51,76,40,28,39,6,254,319,37,61,9,46,3,80,151,4,353,23,577,134,7,60,45,120,106,9,149,30,13,63,724,0,0,106,0,279,83,3,18,3,177
84,Guinea,1069,12,0,7,2,10,9,16,4,3,6,70,0,2,0,14,23,8,2,6,0,2,87,28,24,22,2,6,0,2,2,2,38,2,361,23,4,66,0,0,83,0,5,4,0,18,24,0,0,2,0,24,10,3,5,0,31
85,Guinea-Bissau,23,0,0,2,0,3,0,0,0,0,2,2,0,0,2,2,0,0,0,2,0,0,3,2,0,0,0,2,0,0,0,0,2,0,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0
86,Guyana,5089,3,0,12,2,46,6,63,13,11,422,158,0,3,0,20,4,2,3,2,2,0,119,37,10,76,2,7,0,4,9,3,387,0,3253,43,0,21,2,2,77,0,0,9,0,13,79,0,5,2,2,36,7,2,2,2,111
87,Haiti,14308,14,2,18,2,79,15,252,75,8,6415,327,0,3,2,67,68,15,8,42,21,7,204,1394,20,17,2,33,0,4,14,11,992,3,2778,131,3,37,12,15,417,2,50,22,2,35,89,4,21,20,2,70,26,2,10,3,425
88,Honduras,6353,27,3,35,19,638,59,51,11,19,1406,172,0,5,4,99,50,20,30,29,257,3,158,150,25,50,14,37,0,17,46,12,321,8,526,262,2,42,21,19,80,5,7,53,0,81,916,4,0,44,3,296,39,3,35,2,139
89,Hong Kong,1924,4,2,16,3,718,13,14,2,3,49,31,3,28,2,44,8,7,7,2,3,0,24,86,22,12,3,9,2,2,35,2,57,0,304,27,0,14,4,15,34,2,4,5,0,11,120,0,0,17,2,21,106,0,8,0,24
90,Hungary,983,4,2,19,3,131,24,16,2,2,203,19,0,9,3,34,8,2,3,5,2,3,15,18,11,10,2,9,2,0,17,3,45,0,109,29,0,26,4,9,22,0,0,14,0,12,58,0,2,2,2,23,19,0,11,0,20
91,Iceland,101,2,0,0,0,17,3,2,0,0,24,0,0,0,0,0,0,0,3,0,2,2,2,5,0,0,0,0,2,0,0,0,2,2,8,3,0,0,2,2,2,0,0,0,2,0,5,2,0,2,0,6,4,0,3,0,2
92,India,64631,327,11,790,214,11678,460,809,199,42,1940,3339,2,33,44,3971,728,264,321,289,136,21,1443,1657,1582,644,149,538,5,143,212,153,6409,84,3363,2143,13,1360,183,327,2468,0,42,396,24,600,9116,2,11,148,34,2640,1688,26,531,4,874
93,Indonesia,2093,2,4,32,20,654,74,9,2,6,86,83,2,10,7,47,16,5,8,4,12,3,42,32,19,17,5,7,2,4,28,24,42,0,141,38,0,34,19,25,109,0,2,9,2,11,202,4,0,13,3,48,77,3,9,4,36
94,Iran,11310,30,5,163,12,5193,109,40,7,39,255,299,0,6,24,235,38,24,38,46,21,3,374,220,126,72,8,48,2,23,148,12,137,19,330,126,0,93,63,107,108,2,10,29,2,72,1437,2,0,92,6,550,264,13,39,2,189
95,Iraq,18366,12,3,847,12,3102,347,77,0,3,437,229,0,0,122,905,58,73,45,298,40,167,155,530,3574,282,3,216,2,364,67,38,86,56,572,228,20,429,60,196,339,0,19,22,11,318,2156,0,2,186,19,648,465,6,169,2,351
96,Ireland,1698,4,2,21,4,257,19,28,2,8,88,39,0,3,2,94,11,6,4,11,2,2,33,167,16,13,2,2,0,4,11,5,74,2,343,43,0,15,3,21,66,0,6,16,0,10,74,2,0,2,2,41,56,2,22,0,44
97,Israel,3265,3,2,31,2,698,39,20,2,10,414,82,0,7,3,111,10,7,5,9,13,0,59,98,47,14,0,11,2,3,79,4,218,4,628,31,0,40,5,20,77,2,2,21,2,14,208,2,2,3,3,38,66,0,14,0,84
98,Italy,3244,9,2,33,4,476,48,66,5,33,440,66,0,11,6,143,22,4,4,5,8,4,53,124,82,11,6,18,2,2,30,3,185,14,606,73,3,52,10,22,136,8,10,23,2,20,136,7,0,15,2,67,40,2,17,0,76
99,Jamaica,18010,55,9,47,12,251,49,836,51,44,4747,1221,0,11,5,184,33,8,9,16,32,41,670,549,109,33,32,56,2,4,32,13,948,9,5505,264,7,117,17,13,604,0,32,86,2,57,416,10,10,13,11,235,27,14,50,8,394
100,Japan,1969,9,4,28,6,595,31,12,2,6,62,53,9,154,5,62,11,2,3,13,4,2,26,40,43,14,3,9,2,5,25,2,64,4,185,31,2,30,5,39,25,2,2,9,0,15,84,3,2,19,2,51,91,3,12,2,51
101,Jordan,3430,38,0,61,16,392,32,23,5,3,228,51,0,2,3,435,52,15,15,37,82,0,27,52,172,27,15,44,0,7,13,7,178,13,190,121,3,201,13,15,81,8,4,21,2,80,369,2,15,5,0,114,26,2,61,0,54
102,Kazakhstan,1147,3,5,10,0,192,30,4,3,4,115,17,0,2,3,38,8,7,2,2,3,7,21,38,10,15,0,7,2,0,9,0,33,2,188,27,0,15,7,26,52,0,2,7,2,4,77,0,0,6,2,54,65,2,6,2,15
103,Kenya,5329,59,6,115,10,325,84,22,68,14,96,314,0,8,6,71,61,64,99,51,10,10,225,273,57,480,7,130,2,38,23,17,154,17,147,187,20,146,46,36,164,0,5,16,3,68,920,2,0,27,10,116,295,2,61,2,141
104,Kiribati,6,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
105,"Korea, North",25,0,0,0,0,5,3,0,0,0,0,3,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,2,0,0,0,0
106,"Korea, South",16298,209,55,121,27,4396,220,73,29,32,278,1002,33,201,10,588,84,34,39,39,29,8,541,280,241,105,19,75,3,22,119,14,1119,19,1632,252,2,127,57,148,428,2,16,51,2,110,1275,44,11,71,3,797,695,2,69,3,438
