"","X","NATZin","NATZs"
"1","Africa","CA",4968
"2","Africa","TX",4107
"3","Africa","FL",2114
"4","Africa","NY",3844
"5","Africa","WA.OR",1392
"6","Africa","AZ.NM.NV.UT.CO",2517
"7","Africa","MT.WY.ID.ND.SD.NE",568
"8","Africa","KS.OK.MO.AR.IA.TN.KY",2604
"9","Africa","LA.MS.AL.GA",3118
"10","Africa","MN.WI.IL",5116
"11","Africa","IN.MI.OH.WV",3348
"12","Africa","SC.NC.VA",5109
"13","Africa","MD.DC.DE.PA.NJ",10464
"14","Africa","CT.RI.MA.NH.VT.ME",4572
"15","Africa","Other",566
"16","Asia Other","CA",81309
"17","Asia Other","TX",14602
"18","Asia Other","FL",7637
"19","Asia Other","NY",12187
"20","Asia Other","WA.OR",8136
"21","Asia Other","AZ.NM.NV.UT.CO",10610
"22","Asia Other","MT.WY.ID.ND.SD.NE",1190
"23","Asia Other","KS.OK.MO.AR.IA.TN.KY",7138
"24","Asia Other","LA.MS.AL.GA",6623
"25","Asia Other","MN.WI.IL",11611
"26","Asia Other","IN.MI.OH.WV",8703
"27","Asia Other","SC.NC.VA",12419
"28","Asia Other","MD.DC.DE.PA.NJ",21124
"29","Asia Other","CT.RI.MA.NH.VT.ME",7578
"30","Asia Other","Other",6890
"31","Europe","CA",17573
"32","Europe","TX",3768
"33","Europe","FL",8352
"34","Europe","NY",13439
"35","Europe","WA.OR",6732
"36","Europe","AZ.NM.NV.UT.CO",6343
"37","Europe","MT.WY.ID.ND.SD.NE",1151
"38","Europe","KS.OK.MO.AR.IA.TN.KY",4515
"39","Europe","LA.MS.AL.GA",2929
"40","Europe","MN.WI.IL",13963
"41","Europe","IN.MI.OH.WV",6773
"42","Europe","SC.NC.VA",4455
"43","Europe","MD.DC.DE.PA.NJ",14846
"44","Europe","CT.RI.MA.NH.VT.ME",9076
"45","Europe","Other",1253
"46","N.Amer. Other","CA",36944
"47","N.Amer. Other","TX",9016
"48","N.Amer. Other","FL",78181
"49","N.Amer. Other","NY",35353
"50","N.Amer. Other","WA.OR",1864
"51","N.Amer. Other","AZ.NM.NV.UT.CO",5434
"52","N.Amer. Other","MT.WY.ID.ND.SD.NE",703
