,NaturalizedRegion2014,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,653416,1266,1076,11268,1671,140234,5965,8336,1175,1626,79637,15242,709,2931,1560,26224,4274,2000,2743,2663,2616,909,13707,21608,11809,9176,931,4250,304,2348,7891,1413,32939,2426,77717,11160,525,9032,2472,4363,14500,2439,2479,4486,676,4613,52879,213,625,4314,552,19646,12246,415,3770,217,1150
1,Africa,62175,130,86,784,89,4515,934,655,259,581,1954,2758,2,2,121,2111,699,465,359,484,214,254,4413,3550,778,3496,88,644,2,540,570,150,3221,104,6382,1751,168,2372,405,357,2353,4,477,618,237,936,4968,33,3,318,145,3636,1403,56,339,18,139
2,Asia,233163,599,535,3173,643,67219,1882,2266,453,302,8274,5561,676,2267,498,9910,1782,692,1154,1104,1108,347,4752,6062,7381,3485,489,1808,107,766,3001,594,11546,490,26516,3912,198,3897,1101,1688,6139,41,401,1438,220,1914,16704,70,98,1270,226,8799,5264,196,1658,55,432
3,Europe,71325,147,200,946,130,9625,952,1917,109,252,6042,1597,12,207,228,6862,534,312,228,353,224,149,1096,3546,1959,779,63,891,90,136,749,284,4298,195,10087,1346,83,1350,148,901,2310,56,238,666,103,494,2718,13,21,393,97,1943,2368,68,608,32,170
4,North America,222547,294,168,5982,726,52951,1775,2121,289,342,43862,3726,6,162,631,6290,1022,458,880,588,831,119,2376,5822,1415,983,232,697,81,837,3166,250,8090,1540,24800,3075,59,972,678,1227,2834,2054,1059,1186,97,960,25481,60,483,1494,64,3197,2674,65,931,96,289
5,Oceania,3399,2,45,2,2,1288,55,34,2,9,102,2,9,165,21,51,2,6,2,17,7,9,2,55,24,2,2,2,2,2,2,4,2,8,160,2,2,23,20,63,31,0,2,2,3,31,188,11,5,174,3,2,194,2,14,2,16
6,South America,60665,88,42,336,76,4615,367,1340,2,140,19393,1533,2,91,61,997,221,67,103,113,225,31,1030,2569,237,394,54,183,14,2,351,131,5727,89,9763,1020,2,395,120,127,833,284,293,541,16,274,2814,26,15,665,17,1993,340,2,217,2,99
7,Unknown,142,2,0,2,2,21,0,3,0,0,10,2,0,2,0,3,2,0,2,4,7,0,2,4,15,2,2,2,0,0,2,0,2,0,9,2,0,23,0,0,0,0,2,2,0,4,6,0,0,0,0,2,3,0,3,0,5
