"","X","LPRin","LPRs"
"1","Africa","CA",6813
"2","Africa","TX",6635
"3","Africa","FL",3150
"4","Africa","NY",7987
"5","Africa","WA.OR",2535
"6","Africa","AZ.NM.NV.UT.CO",3504
"7","Africa","MT.WY.ID.ND.SD.NE",1107
"8","Africa","KS.OK.MO.AR.IA.TN.KY",4533
"9","Africa","LA.MS.AL.GA",5397
"10","Africa","MN.WI.IL",9565
"11","Africa","IN.MI.OH.WV",5486
"12","Africa","SC.NC.VA",6634
"13","Africa","MD.DC.DE.PA.NJ",14603
"14","Africa","CT.RI.MA.NH.VT.ME",7036
"15","Africa","Other",81
"16","Asia Other","CA",74148
"17","Asia Other","TX",18603
"18","Asia Other","FL",9769
"19","Asia Other","NY",24997
"20","Asia Other","WA.OR",8261
"21","Asia Other","AZ.NM.NV.UT.CO",9609
"22","Asia Other","MT.WY.ID.ND.SD.NE",1665
"23","Asia Other","KS.OK.MO.AR.IA.TN.KY",8880
"24","Asia Other","LA.MS.AL.GA",9806
"25","Asia Other","MN.WI.IL",14563
"26","Asia Other","IN.MI.OH.WV",12513
"27","Asia Other","SC.NC.VA",12922
"28","Asia Other","MD.DC.DE.PA.NJ",23510
"29","Asia Other","CT.RI.MA.NH.VT.ME",9197
"30","Asia Other","Other",5523
"31","Europe","CA",22806
"32","Europe","TX",7382
"33","Europe","FL",12628
"34","Europe","NY",24653
"35","Europe","WA.OR",13087
"36","Europe","AZ.NM.NV.UT.CO",7680
"37","Europe","MT.WY.ID.ND.SD.NE",2033
"38","Europe","KS.OK.MO.AR.IA.TN.KY",8533
"39","Europe","LA.MS.AL.GA",6220
"40","Europe","MN.WI.IL",20435
"41","Europe","IN.MI.OH.WV",11645
"42","Europe","SC.NC.VA",7237
"43","Europe","MD.DC.DE.PA.NJ",18340
"44","Europe","CT.RI.MA.NH.VT.ME",12995
"45","Europe","Other",699
"46","N.Amer. Other","CA",21245
"47","N.Amer. Other","TX",8810
"48","N.Amer. Other","FL",55618
"49","N.Amer. Other","NY",35634
"50","N.Amer. Other","WA.OR",2414
"51","N.Amer. Other","AZ.NM.NV.UT.CO",4830
"52","N.Amer. Other","MT.WY.ID.ND.SD.NE",783
"53","N.Amer. Other","KS.OK.MO.AR.IA.TN.KY",3635
"54","N.Amer. Other","LA.MS.AL.GA",5037
"55","N.Amer. Other","MN.WI.IL",4400
"56","N.Amer. Other","IN.MI.OH.WV",3929
"57","N.Amer. Other","SC.NC.VA",6268
"58","N.Amer. Other","MD.DC.DE.PA.NJ",18035
"59","N.Amer. Other","CT.RI.MA.NH.VT.ME",10098
"60","N.Amer. Other","Other",351
"61","Oceania","CA",2142
"62","Oceania","TX",331
"63","Oceania","FL",259
"64","Oceania","NY",475
"65","Oceania","WA.OR",481
"66","Oceania","AZ.NM.NV.UT.CO",502
"67","Oceania","MT.WY.ID.ND.SD.NE",70
"68","Oceania","KS.OK.MO.AR.IA.TN.KY",211
