,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,7636.0,10375.0,3083.0,10949.0,4219.0,5624.0,2306.0,7684.0,5872.0,11841.0,7738.0,8303.0,18754.0,8732.0,310.0
Asia Other,78509.0,27936.0,10739.0,39599.0,12751.0,13867.0,4147.0,14197.0,12883.0,16538.0,22238.0,18446.0,24651.0,11130.0,8209.0
Europe,14480.0,4664.0,9177.0,14743.0,4456.0,3768.0,753.0,2581.0,2785.0,9331.0,4986.0,4477.0,9604.0,7096.0,666.0
N.Amer. Other,17058.0,13630.0,83016.0,49860.0,2494.0,6095.0,1531.0,5765.0,7021.0,3281.0,3767.0,8512.0,29324.0,16905.0,4500.0
Oceania,1927.0,299.0,216.0,522.0,486.0,500.0,58.0,176.0,142.0,223.0,168.0,193.0,273.0,206.0,199.0
S.Amer.,5827.0,4750.0,21490.0,14499.0,1054.0,2627.0,323.0,1490.0,2776.0,2320.0,1412.0,3846.0,10701.0,5868.0,625.0
Mexico,59154.0,39145.0,4425.0,2626.0,6372.0,21540.0,2281.0,7687.0,5298.0,13050.0,3934.0,4877.0,3003.0,815.0,327.0
India,13241.0,6086.0,2023.0,5077.0,2311.0,1558.0,224.0,2455.0,3373.0,5857.0,3778.0,3872.0,11668.0,3095.0,69.0
China,25110.0,3663.0,2048.0,21790.0,3177.0,2233.0,437.0,1991.0,1971.0,3245.0,2461.0,2535.0,6629.0,3639.0,843.0
