,NaturalizedCountry2016,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
24,Bolivia,1862,2,0,8,2,187,8,9,2,6,249,9,0,2,2,19,4,2,2,4,6,0,132,36,7,4,2,3,0,2,11,0,89,4,118,14,0,11,5,8,11,4,31,14,0,7,85,2,0,26,2,688,14,2,9,0,6
25,Bosnia and Herzegovina,2257,5,2,85,0,74,21,72,0,4,146,144,0,2,52,150,30,144,3,89,4,4,13,24,160,38,2,296,0,7,20,21,20,2,146,31,27,33,4,22,65,2,2,2,7,26,69,0,0,42,10,44,69,0,27,0,2
26,Botswana,29,2,0,2,0,4,0,2,0,2,3,2,0,0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0
27,Brazil,10268,38,2,61,9,1089,100,430,7,18,2369,365,0,56,11,154,51,15,22,16,43,18,188,1700,102,21,14,31,3,9,71,54,737,13,796,143,4,70,28,71,165,7,40,69,2,54,460,5,2,122,5,192,158,5,40,3,11
28,Brunei,10,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
29,Bulgaria,2086,4,5,37,4,280,29,18,6,10,175,73,0,3,3,394,7,2,12,8,14,8,42,108,35,13,2,35,2,3,78,4,78,2,155,20,5,18,9,16,52,0,8,15,2,8,92,2,2,9,0,74,86,2,17,2,2
30,Burkina Faso,322,2,0,2,2,5,3,2,0,3,3,17,0,0,0,14,5,2,0,0,2,0,42,3,5,3,0,2,0,12,0,2,24,0,88,3,0,5,2,0,12,0,0,5,0,0,14,2,0,2,2,19,12,0,5,0,2
31,Burma,6956,8,0,113,13,544,117,22,4,4,146,242,2,7,52,184,787,284,126,99,18,4,273,39,229,550,2,115,5,209,10,4,47,3,574,302,6,122,223,77,100,0,3,27,80,118,616,2,0,80,15,53,144,8,125,0,21
32,Burundi,406,11,0,21,0,9,7,6,0,2,2,12,0,0,5,9,2,30,2,11,0,8,9,6,10,4,0,13,0,3,0,2,2,0,28,12,9,15,0,0,14,0,5,2,12,24,66,2,0,13,3,11,9,0,2,0,0
33,Cabo Verde,1207,0,0,0,0,2,0,22,0,0,11,2,0,0,0,0,0,0,2,0,0,2,2,909,2,0,0,0,0,0,0,2,6,0,11,3,0,2,0,2,5,0,212,2,0,4,2,0,0,2,0,2,2,0,0,0,3
34,Cambodia,2756,11,2,30,15,748,29,23,2,0,42,77,0,3,0,28,17,13,10,40,14,28,29,331,23,137,9,16,0,2,17,10,16,2,53,34,3,49,13,53,130,0,57,14,0,26,196,0,0,19,2,59,309,0,15,0,1
35,Cameroon,3088,17,2,32,9,118,17,7,36,70,48,153,0,0,3,64,20,12,10,20,25,5,1059,101,43,84,4,14,3,15,9,2,53,10,104,43,16,88,44,10,69,0,0,31,2,27,404,2,0,2,0,125,27,7,15,0,9
36,Canada,9346,49,34,273,23,1449,216,133,5,30,967,237,0,49,54,223,104,28,41,44,48,73,113,344,408,150,12,90,41,21,110,96,239,24,676,279,38,163,50,164,196,2,24,99,10,114,594,2,2,99,45,205,737,10,77,8,24
