,DefensiveAsylumRegion,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Total,10138,10575,9767,8636,8140,8693,10565,13194,18904,14565
1,Africa,2340,2078,1897,1643,1372,1308,1535,1600,2315,1552
2,Asia,5855,6707,6088,5413,4769,4217,4251,5653,7683,4661
3,Europe,864,817,850,636,532,360,398,597,794,546
4,North America,535,618,678,707,1277,2541,4004,4868,7134,6557
5,Oceania,23,12,5,2,2,0,2,2,6,4
6,South America,406,251,205,201,155,114,219,337,772,1102
7,Unknown,115,92,44,2,2,153,2,2,200,143
