,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,5763.0,5687.0,2135.0,6440.0,2726.0,3057.0,1219.0,4128.0,4001.0,7353.0,4771.0,6353.0,12643.0,5139.0,449.0
Asia Other,63344.0,13725.0,6854.0,19504.0,7256.0,8170.0,1249.0,6384.0,6072.0,11017.0,9714.0,10982.0,16077.0,5706.0,4292.0
Europe,11455.0,3017.0,6645.0,11380.0,4726.0,3495.0,704.0,3112.0,2468.0,8590.0,4769.0,4196.0,8984.0,6049.0,725.0
N.Amer. Other,15464.0,5865.0,57289.0,39692.0,1510.0,3123.0,524.0,2331.0,4118.0,2320.0,2064.0,5961.0,18814.0,10032.0,2771.0
Oceania,1527.0,166.0,126.0,155.0,4.0,160.0,32.0,62.0,97.0,98.0,55.0,93.0,57.0,123.0,263.0
S.Amer.,5557.0,3306.0,23505.0,14864.0,722.0,1871.0,202.0,1104.0,2358.0,1622.0,956.0,4309.0,9875.0,5004.0,665.0
Mexico,40238.0,20232.0,2694.0,1443.0,3241.0,11213.0,1009.0,3624.0,2304.0,6317.0,1958.0,2533.0,1677.0,469.0,427.0
India,10820.0,4476.0,1741.0,3638.0,1658.0,1195.0,198.0,1770.0,2604.0,3968.0,2970.0,3412.0,8908.0,2358.0,174.0
China,10600.0,1462.0,768.0,10209.0,1156.0,862.0,118.0,877.0,764.0,1439.0,1060.0,1255.0,2823.0,1637.0,352.0
