,NaturalizedCountry2017,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,707265,1045,1011,12462,1328,157364,6104,7441,1453,1944,69485,16461,842,3491,1994,24933,6420,2677,3152,3445,2160,1039,17729,27739,12725,7834,662,5109,347,2422,7438,1897,38611,3312,86407,13890,607,12427,3769,6382,14898,2651,3415,5033,632,3645,50552,33,653,3141,760,21930,16030,560,3165,247,4362
1,Afghanistan,1414,0,0,29,2,512,12,16,3,2,20,44,0,0,34,25,8,0,2,5,11,2,25,12,8,7,2,16,2,2,7,2,49,3,128,17,0,14,2,20,15,0,0,8,3,6,55,0,0,7,0,241,33,0,3,0,7
2,Albania,2169,0,2,19,2,48,5,106,2,9,184,6,0,2,2,111,6,0,2,2,0,3,14,315,359,3,2,27,0,3,11,9,93,0,492,13,0,69,4,6,113,0,2,14,0,6,28,0,0,2,2,27,15,0,15,0,20
3,Algeria,949,2,0,6,0,153,16,9,0,4,16,15,0,0,2,56,21,2,21,6,7,2,10,81,28,3,2,9,0,0,0,2,67,2,118,27,0,35,4,2,79,0,2,4,0,3,62,0,0,0,0,51,16,2,3,2,5
4,American Samoa,216,0,13,2,0,30,0,2,0,0,3,29,2,22,2,4,0,2,2,2,3,0,0,2,0,0,0,2,0,2,2,0,0,0,3,3,0,0,6,2,0,0,0,20,0,0,5,2,2,8,0,7,35,0,2,0,7
5,Angola,125,0,0,3,0,8,2,0,0,0,8,3,0,0,0,5,2,2,2,2,0,0,3,39,2,2,0,0,0,0,2,0,10,0,4,2,0,0,3,2,4,0,12,0,0,2,4,0,0,0,0,5,2,0,0,0,0
6,Anguilla,20,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
7,Antigua and Barbuda,311,2,2,0,0,3,0,6,2,0,48,19,0,0,0,2,2,0,0,2,0,0,9,13,0,2,0,2,0,0,2,0,16,0,132,5,0,2,2,0,4,2,2,2,0,0,4,0,25,0,0,5,0,0,2,0,3
8,Argentina,3486,7,2,26,2,556,32,58,2,16,1085,73,0,7,6,60,22,7,7,13,10,4,76,93,35,9,2,27,2,8,39,3,204,8,341,53,2,36,7,28,46,46,3,27,2,12,145,0,2,37,2,134,34,0,14,4,16
9,Armenia,1994,0,0,7,0,1569,9,2,2,3,20,3,2,0,2,16,2,0,0,0,0,0,16,39,12,2,0,2,0,0,30,0,36,0,104,3,2,21,2,3,10,0,6,5,0,3,9,0,0,9,0,13,32,0,2,0,4
10,Aruba,32,0,0,0,0,2,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,9,2,0,0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
11,Australia,1235,2,5,24,4,339,33,16,2,10,51,18,2,8,7,28,14,5,11,5,4,6,15,53,28,7,2,9,4,5,14,4,31,7,137,33,0,18,3,35,26,0,4,18,2,9,53,0,0,13,3,37,55,3,6,4,4
12,Austria,177,0,2,4,2,39,4,2,0,2,15,9,0,3,2,3,3,2,0,2,2,2,2,4,5,0,0,0,2,0,0,2,9,0,16,4,0,7,2,4,7,0,2,3,0,2,8,0,0,0,0,2,5,2,2,2,1
13,Azerbaijan,483,0,0,5,0,127,4,2,0,2,10,5,0,0,6,10,2,0,2,2,0,2,13,21,6,3,0,8,0,0,5,2,8,0,108,8,3,13,0,2,11,2,2,2,0,2,27,0,0,3,0,29,23,0,2,2,3
14,Bahamas,481,0,2,4,0,10,0,2,0,3,263,46,0,2,2,6,2,2,0,4,2,2,11,6,2,3,0,4,0,2,2,0,10,0,28,14,2,6,2,2,8,0,2,5,0,2,16,0,0,0,2,8,2,2,0,2,1
15,Bahrain,77,0,0,2,0,17,2,2,0,0,2,2,0,0,0,4,0,0,0,0,0,0,2,4,2,0,0,2,0,0,3,0,5,0,9,2,0,0,2,0,0,0,0,0,0,2,6,0,0,0,0,6,5,0,2,0,1
16,Bangladesh,8629,16,2,53,9,447,17,114,21,20,315,216,0,4,4,73,20,7,20,15,15,2,191,191,563,35,2,21,0,9,20,5,487,5,4424,61,2,48,30,23,262,0,4,24,2,9,329,0,0,2,0,395,39,11,11,0,37
17,Barbados,645,0,0,2,0,14,3,11,2,2,57,13,0,0,0,8,2,0,0,3,2,2,25,77,5,3,2,2,0,0,2,2,50,2,278,12,0,3,0,2,17,0,4,8,0,2,7,0,0,2,0,18,2,2,2,0,4
18,Belarus,1313,2,2,7,2,214,23,19,5,2,65,15,0,2,6,75,6,2,2,2,0,2,24,90,8,45,0,10,2,3,5,4,53,0,311,30,0,23,3,20,58,0,3,17,2,4,23,0,0,0,2,43,65,2,11,0,7
19,Belgium,493,2,0,9,2,88,12,12,2,2,45,12,2,2,2,20,7,0,3,2,2,2,11,20,11,5,2,6,0,3,2,3,17,2,67,21,0,12,5,3,7,2,4,8,0,2,24,0,0,3,2,10,7,0,4,2,8
20,Belize,810,2,0,11,2,339,2,3,2,3,58,10,2,2,0,71,10,2,0,6,4,0,7,3,2,2,2,4,0,2,10,0,19,0,123,12,0,7,6,4,10,0,0,7,2,4,39,0,0,2,2,8,6,0,2,0,5
21,Benin,309,0,0,0,2,6,9,2,2,2,4,18,0,2,0,31,24,4,3,2,2,0,41,4,5,9,0,2,0,14,0,3,5,2,31,14,2,2,5,0,17,0,2,6,0,2,12,0,0,2,0,13,3,0,2,0,7
22,Bermuda,65,2,0,0,2,4,0,2,0,0,2,9,0,2,0,0,2,0,0,2,0,0,3,0,3,0,0,2,0,0,2,0,2,0,12,2,0,2,0,0,3,0,3,0,0,0,4,0,0,0,2,4,2,0,0,0,0
23,Bhutan,5557,0,6,58,0,30,103,2,2,0,7,170,0,0,58,107,2,89,45,147,0,0,51,180,105,73,0,75,0,46,20,161,2,4,483,147,68,1396,2,50,983,0,14,4,71,58,224,0,0,53,214,134,77,0,18,0,21
24,Bolivia,1806,2,6,7,2,167,6,7,0,11,191,13,0,2,2,28,7,2,5,8,3,2,128,37,3,7,0,4,0,2,8,2,65,5,123,15,2,14,6,10,12,5,51,15,0,3,58,0,0,16,0,723,8,2,6,2,12
25,Bosnia and Herzegovina,1780,2,0,52,3,77,20,59,2,3,122,94,0,2,50,130,25,90,8,80,6,2,3,38,119,39,0,226,2,8,23,12,30,0,139,27,11,42,2,12,48,0,0,2,4,11,42,0,0,20,9,35,38,0,12,0,5
26,Botswana,27,0,0,2,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,0
