,NaturalizedCountry2017,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
27,Brazil,9701,13,11,91,11,1098,66,326,12,26,1715,348,0,39,15,154,49,10,40,41,25,11,163,1965,112,49,6,47,10,15,53,79,784,16,650,174,3,118,32,56,164,6,67,99,4,47,321,0,0,113,10,198,116,10,35,3,75
28,Brunei,11,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
29,Bulgaria,1887,2,4,25,2,254,39,21,12,6,99,63,0,9,5,366,14,3,5,7,4,21,46,124,34,10,2,25,2,5,67,6,92,2,159,39,2,21,7,11,38,2,4,18,2,4,57,0,2,7,2,59,45,3,12,3,18
30,Burkina Faso,303,0,0,7,2,8,2,2,0,8,2,19,0,0,0,9,2,2,2,0,0,0,22,5,3,2,0,4,0,8,2,0,25,0,93,3,0,12,6,2,10,2,0,7,2,0,12,0,0,0,0,11,3,3,4,2,4
31,Burma,6825,3,2,101,8,372,72,6,2,4,137,196,0,7,50,140,1114,259,189,183,20,2,232,85,201,492,2,179,3,213,13,9,23,4,547,348,0,158,169,68,107,0,4,41,90,84,475,0,0,70,14,62,128,10,72,0,58
32,Burundi,266,2,0,14,2,3,3,2,0,0,4,4,0,0,2,8,0,33,2,11,0,8,7,6,3,3,0,6,0,0,0,4,2,0,18,3,5,14,0,2,9,0,4,2,7,5,40,0,0,4,2,12,11,2,0,0,3
33,Cabo Verde,1355,2,0,0,0,2,0,16,0,0,11,3,0,0,0,2,0,0,3,0,0,0,2,984,0,0,0,2,0,0,0,0,9,0,13,2,0,2,2,0,2,0,289,2,0,2,2,0,0,2,0,2,0,0,2,0,8
34,Cambodia,2184,4,2,19,10,594,19,16,0,3,44,64,0,6,3,20,10,14,10,27,14,26,24,300,21,93,9,17,2,2,9,11,8,2,43,39,0,47,10,28,110,0,53,20,2,16,142,0,0,10,3,78,150,2,13,0,20
35,Cameroon,2416,2,7,31,10,101,12,11,21,53,32,110,0,0,2,57,11,13,14,21,9,2,771,112,45,76,3,20,0,16,12,6,54,5,85,42,8,101,70,3,42,0,2,36,0,9,221,2,0,4,0,106,11,3,6,0,28
36,Canada,7829,28,20,239,11,1415,111,99,13,19,654,212,5,44,40,206,89,24,40,63,29,71,94,356,362,115,6,59,27,22,82,79,218,41,605,263,19,204,46,119,139,3,32,117,8,69,434,2,0,52,60,212,428,13,59,17,35
37,Cayman Islands,23,0,0,0,0,0,0,2,0,0,9,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
38,Central African Republic,61,0,0,2,0,2,2,0,0,2,2,3,0,0,0,3,0,0,0,0,0,6,2,5,2,0,0,0,0,0,0,0,0,2,4,4,0,3,0,4,3,0,0,0,0,2,4,0,0,2,0,4,2,0,0,0,0
39,Chad,78,0,0,2,0,4,0,0,0,3,2,0,0,0,0,2,19,2,0,2,0,2,6,2,2,0,0,2,0,2,0,0,5,0,9,0,0,3,0,0,5,0,0,0,2,0,8,0,0,0,0,0,2,0,0,0,0
40,Chile,1620,2,5,27,2,280,16,20,2,8,327,30,0,5,8,34,3,2,5,5,3,4,42,49,12,12,5,7,2,2,13,5,107,7,176,43,0,24,5,20,36,11,5,17,0,11,64,0,0,50,2,63,30,2,7,2,6
41,"China, People's Republic",37674,51,19,315,53,10799,234,297,77,46,755,623,47,370,51,1073,305,89,113,112,95,52,841,2061,521,254,41,289,17,69,304,77,1216,71,9764,578,14,601,149,364,939,26,66,224,17,154,1233,2,16,81,35,712,931,31,145,10,245
42,Colombia,16184,24,17,94,14,946,58,296,21,26,5270,608,2,11,18,247,63,8,26,45,48,12,226,601,56,46,7,64,6,21,89,39,2072,29,2181,427,10,92,52,38,237,109,166,276,2,54,776,2,0,58,5,327,106,6,42,2,107
43,Comoros,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
44,"Congo, Democratic Republic",1437,6,2,31,2,66,35,17,0,2,9,50,0,0,35,96,19,76,4,56,0,31,68,63,26,21,0,31,0,6,5,23,6,2,95,123,9,55,7,20,28,0,5,10,12,7,171,0,0,16,12,45,23,2,6,2,5
45,"Congo, Republic",322,2,0,19,0,17,9,3,2,2,4,16,0,0,12,20,2,7,2,4,2,2,17,11,11,2,2,5,0,3,2,0,7,2,30,24,7,14,2,2,3,0,0,2,2,3,24,0,0,5,8,5,5,0,6,0,2
46,Cook Islands,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Costa Rica,1720,5,2,18,9,196,20,19,2,3,350,41,0,2,5,21,10,2,4,3,12,2,37,58,12,14,4,4,3,2,19,2,333,6,124,92,0,14,5,12,45,4,2,31,2,11,65,0,0,7,2,46,20,2,12,0,9
48,Cote d'Ivoire,907,2,2,12,2,27,13,11,0,14,16,54,0,2,2,20,12,5,2,5,4,2,69,30,14,12,2,13,2,5,2,2,23,2,248,48,6,34,13,2,37,0,11,14,3,10,53,0,0,2,0,31,8,0,4,0,8
49,Croatia,351,0,0,7,0,53,3,3,0,2,30,19,0,2,2,27,10,2,2,3,2,2,3,9,8,2,2,5,0,0,11,2,18,0,43,2,0,14,2,2,9,0,3,2,2,2,21,0,0,7,2,6,6,0,8,0,0
50,Cuba,25961,21,4,143,2,311,33,29,7,11,21175,184,0,0,3,108,18,16,18,371,78,3,30,46,66,17,18,73,2,70,470,5,656,80,378,176,4,29,25,50,83,156,7,65,3,52,611,2,3,15,3,107,39,2,4,0,81
51,Curacao,16,0,0,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
52,Cyprus,84,0,0,2,0,14,3,2,0,2,5,2,0,0,0,2,2,0,0,2,0,0,4,2,2,0,0,2,0,0,2,2,6,2,26,2,0,2,0,0,2,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0
53,Czechia,595,3,3,12,0,100,13,9,2,3,108,15,0,4,2,38,2,0,2,8,2,2,15,32,9,3,2,2,0,2,6,3,12,2,52,19,0,14,0,7,13,0,2,9,2,6,16,0,0,3,2,17,16,0,5,2,1
54,Czechoslovakia (former),251,0,0,3,2,50,9,2,0,2,20,10,0,2,0,15,2,0,0,0,0,2,7,6,4,2,0,3,0,0,2,4,12,2,24,6,0,5,2,3,9,2,0,4,0,3,11,0,0,2,2,12,5,0,0,4,1
55,Denmark,769,2,3,17,2,203,17,9,0,2,32,15,0,4,3,21,4,3,4,4,2,5,23,30,9,16,2,2,0,2,8,8,35,4,55,30,0,7,3,15,19,0,2,8,0,2,42,0,0,3,2,25,58,2,7,2,6
56,Djibouti,48,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,11,0,3,0,8,0,0,0,0,0,2,0,0,2,0,2,3,0,0,0,0,0,0,0,0,2,0,0,2,0,2,3,0,2,0,1
57,Dominica,539,0,0,2,2,11,3,10,2,2,59,17,0,0,0,7,3,0,3,0,0,2,13,29,2,2,0,2,0,2,2,0,43,0,134,6,0,2,6,0,6,0,0,2,0,2,25,0,128,0,2,7,2,0,2,0,8
58,Dominican Republic,29734,8,35,26,3,101,19,483,42,71,2252,206,0,3,5,72,67,9,13,9,80,9,276,2767,69,22,28,27,5,8,27,126,4723,4,12778,321,2,167,27,11,1409,1837,838,98,0,22,180,0,76,16,5,146,31,3,28,2,144
59,Ecuador,7748,2,3,30,2,347,25,283,16,10,892,93,0,5,2,214,13,15,8,15,16,3,108,106,17,75,2,9,2,5,29,13,1624,9,2868,194,2,43,17,10,134,26,19,71,2,12,128,0,0,24,2,115,18,4,13,0,57
60,Egypt,5154,9,3,37,0,856,14,41,16,8,300,48,0,3,2,117,45,6,8,29,12,2,63,238,73,35,7,10,2,8,12,17,929,4,722,109,2,139,13,17,176,2,8,45,2,289,221,0,2,2,0,299,83,14,20,0,40
61,El Salvador,16941,10,13,106,132,5932,81,57,9,205,559,328,2,6,22,131,77,55,69,26,28,8,1394,629,25,72,4,54,2,80,320,15,613,38,1424,409,0,59,28,77,96,18,43,55,9,71,1625,2,2,90,3,1553,141,16,20,3,98
62,Equatorial Guinea,8,0,0,2,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
63,Eritrea,1424,2,0,36,0,190,35,4,0,32,16,66,0,0,9,26,21,23,5,9,6,2,87,41,10,25,0,28,0,2,37,0,11,0,38,66,2,73,15,7,25,0,2,5,16,14,152,0,0,9,0,102,167,2,5,0,3
64,Estonia,157,0,2,3,0,16,0,4,2,3,17,2,0,0,0,6,3,0,0,0,2,2,3,2,6,2,0,2,2,0,3,2,10,0,19,3,0,5,0,5,3,0,0,3,0,2,4,0,0,0,0,9,14,0,2,0,1
65,Ethiopia,7370,5,4,56,3,733,219,19,4,376,104,400,0,2,6,106,42,62,75,37,10,10,911,243,37,531,2,84,0,34,206,2,37,2,113,128,9,266,26,82,104,0,8,22,61,103,444,0,2,15,2,938,574,16,15,0,83
66,Fiji,841,2,0,7,0,638,2,2,0,0,4,2,0,4,2,2,0,0,2,0,2,0,2,2,2,2,0,2,0,0,5,0,0,2,0,2,0,3,0,24,5,0,0,3,0,2,4,0,0,5,0,2,95,2,0,2,14
67,Finland,279,2,0,7,2,78,2,0,2,0,21,11,0,0,2,6,0,0,2,2,2,0,4,14,7,4,0,2,2,0,4,4,4,0,22,4,0,4,2,8,2,0,5,2,0,2,19,0,0,2,2,10,17,0,4,2,1
68,France,2812,2,4,34,2,742,47,45,4,28,223,62,2,12,11,76,26,6,5,14,11,7,83,133,35,30,3,17,5,5,32,9,116,18,400,52,0,36,7,39,47,3,12,30,0,12,124,0,3,8,8,76,67,2,15,0,24
69,French Polynesia,14,0,0,2,0,4,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
70,Gabon,67,0,0,0,2,4,2,0,0,0,2,8,0,0,0,3,0,2,0,0,2,0,6,3,0,0,0,0,0,0,0,0,0,0,7,3,2,4,0,0,4,2,2,0,0,2,9,0,0,2,0,4,0,0,2,0,0
71,Gambia,586,2,2,4,2,3,3,2,2,2,9,54,0,0,0,6,3,2,4,11,2,2,37,20,15,20,0,3,0,3,2,0,9,2,133,48,2,32,2,2,12,0,19,8,0,5,20,0,0,3,0,5,58,0,17,0,0
72,Georgia,889,0,2,2,0,116,2,14,2,9,16,11,0,0,0,22,2,2,4,4,0,0,19,15,6,2,0,4,0,0,2,2,106,2,387,4,2,18,3,7,46,0,0,2,0,0,9,0,0,4,2,19,19,2,0,0,4
73,Germany,3879,16,14,74,13,722,85,32,9,14,278,119,3,37,6,116,47,17,30,47,10,12,69,176,135,27,7,48,20,13,35,25,136,40,273,99,6,100,40,66,107,6,17,82,2,23,201,2,2,20,20,159,128,11,37,8,41
74,Ghana,5777,5,4,30,3,156,79,130,60,12,64,254,2,4,4,190,33,13,10,37,11,9,492,397,43,98,9,37,3,18,17,10,499,14,1123,162,19,422,66,19,125,0,35,67,4,43,232,0,0,17,7,572,47,3,17,2,49
75,Gibraltar,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
76,Greece,945,0,2,2,0,112,3,27,6,3,54,16,0,0,2,66,12,2,3,2,2,3,29,110,20,2,0,7,0,2,5,7,47,2,230,18,2,26,3,4,37,0,7,13,0,2,22,0,0,2,0,17,8,2,5,0,7
77,Grenada,629,0,0,2,0,6,2,8,0,0,31,16,0,0,0,2,2,0,2,2,2,0,26,14,0,2,2,0,0,0,2,0,25,2,438,6,0,0,3,0,5,0,2,5,0,4,6,0,10,0,2,8,2,0,0,0,2
78,Guatemala,9131,18,5,117,31,3425,61,117,19,21,566,192,2,3,25,269,70,65,34,26,42,8,287,398,34,46,6,53,0,100,166,3,441,31,537,132,5,59,54,111,79,6,326,62,31,59,404,0,0,65,0,341,112,2,14,4,48
79,Guinea,957,5,0,5,0,10,6,8,6,3,5,45,0,0,0,12,25,2,3,5,2,0,68,40,15,26,2,5,0,0,0,4,33,2,404,21,0,55,2,2,59,0,4,3,0,5,19,0,0,2,0,21,13,0,7,0,7
80,Guinea-Bissau,25,0,0,0,0,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,5,0,0,0,0,0,0,2,0,2,0,0,0,0,1
81,Guyana,4527,2,2,8,0,42,2,64,13,13,304,85,2,2,0,11,3,0,2,2,2,0,138,32,6,62,2,9,0,0,2,2,405,2,3028,27,0,26,5,2,56,0,4,29,0,7,44,0,4,2,2,49,5,2,2,0,26
82,Haiti,12794,4,2,17,2,60,11,221,68,9,5293,236,0,2,4,89,59,9,6,29,15,6,194,1929,14,10,2,37,3,2,9,23,987,3,2605,86,12,46,27,10,238,2,70,66,2,20,61,2,29,11,2,82,19,5,5,0,47
83,Honduras,5310,9,2,36,15,618,39,52,5,10,1010,140,2,4,6,97,58,24,25,21,196,4,153,172,32,34,10,32,0,23,48,4,357,6,652,215,2,38,23,29,52,9,18,76,5,51,517,0,0,29,2,279,28,2,13,0,30
84,Hong Kong,1623,2,2,7,2,671,4,6,2,2,31,25,3,27,5,39,5,3,3,0,2,2,31,95,9,2,0,8,3,2,26,3,50,0,309,23,0,18,2,12,25,2,2,5,0,2,56,0,4,9,0,15,64,0,5,0,7
85,Hungary,729,2,2,12,0,107,12,14,0,7,135,8,0,2,0,16,7,2,0,4,2,2,14,19,11,6,2,6,0,4,14,3,58,2,102,19,2,16,2,2,17,0,3,11,0,9,23,0,0,4,2,19,18,0,4,2,6
86,Iceland,83,0,2,2,0,11,0,2,0,0,9,5,0,0,2,6,2,0,3,0,0,0,0,7,2,0,2,0,0,0,2,2,0,0,14,0,0,3,2,2,0,0,0,0,0,0,5,0,0,0,0,2,4,0,2,0,0
87,India,50802,110,12,671,101,12032,230,630,238,42,1300,1833,4,15,40,2922,608,138,246,205,109,35,1348,2042,1347,425,73,390,19,85,124,169,5910,67,2726,1595,11,1304,171,413,1579,0,92,325,23,288,3770,0,7,98,26,2680,1544,49,312,5,264
88,Indonesia,1566,4,5,15,2,628,39,8,0,4,29,44,2,8,4,25,11,3,7,10,9,5,42,32,14,13,0,11,3,2,21,50,40,4,102,23,2,33,14,26,67,0,0,5,0,8,67,0,2,6,2,34,76,0,5,0,6
89,Iran,8324,13,4,149,11,4601,47,20,4,29,185,200,0,2,16,153,35,5,25,26,13,8,274,144,78,24,2,40,0,2,94,11,109,16,265,99,2,64,42,82,57,3,6,20,0,48,560,0,0,49,3,421,210,4,13,2,35
90,Iraq,7875,8,3,369,8,1728,40,27,0,8,139,70,0,2,77,442,33,32,20,129,23,71,55,205,2067,72,2,111,0,83,53,20,40,33,257,71,14,156,17,62,112,0,2,26,3,118,475,0,0,44,3,299,176,4,27,0,41
91,Ireland,1405,2,4,16,2,256,9,31,2,9,73,13,0,3,2,62,15,2,5,12,2,8,22,243,12,7,0,8,2,2,5,16,61,4,262,29,0,13,0,23,43,0,7,10,0,4,36,0,0,2,3,27,26,2,8,0,6
92,Israel,2466,3,2,19,2,675,13,14,0,8,213,29,2,3,2,90,14,7,11,7,12,2,58,99,48,16,2,11,0,5,42,6,171,5,503,35,0,52,3,5,37,2,4,16,0,9,84,0,3,3,2,51,49,2,10,0,12
93,Italy,2501,4,2,28,2,380,12,80,5,25,242,33,2,13,4,103,9,7,2,6,6,5,36,187,67,11,0,10,3,2,12,8,193,5,496,58,0,58,5,16,93,2,16,23,0,5,70,0,0,6,2,63,36,6,14,2,29
94,Jamaica,15087,12,5,38,2,272,37,718,57,40,3460,746,2,4,3,177,35,2,9,16,31,31,521,614,90,31,27,69,2,3,27,12,1007,3,5187,204,6,133,76,16,395,0,37,235,3,38,196,0,8,8,14,265,28,8,16,4,108
95,Japan,1713,2,3,24,2,595,17,6,2,4,44,40,11,152,2,46,14,4,5,4,5,0,30,57,29,8,2,10,2,2,14,4,66,6,184,24,2,29,11,23,19,0,2,12,2,4,40,0,0,10,4,49,65,3,10,0,14
96,Jordan,2239,11,2,29,4,334,12,10,2,6,108,25,0,3,2,271,36,3,9,24,51,2,32,50,133,17,7,39,0,5,10,2,152,12,159,54,4,190,12,17,56,2,0,20,2,35,149,0,4,6,0,75,17,4,23,0,12
97,Kazakhstan,729,2,2,6,2,124,12,3,0,5,44,10,0,2,4,22,5,2,3,2,2,7,15,51,4,5,0,7,0,2,7,2,24,3,137,19,0,19,2,19,28,0,2,8,0,2,35,0,0,2,2,31,43,2,2,0,4
98,Kenya,4348,32,3,71,6,330,48,20,54,19,92,217,0,3,8,58,86,51,105,43,9,11,223,403,36,314,6,144,2,24,18,25,182,19,128,191,14,153,56,38,132,0,12,58,4,40,411,0,0,12,6,112,242,2,20,4,52
99,"Korea, North",15,0,0,2,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,3,2,0,0,0,0
100,"Korea, South",14643,58,34,98,12,5057,135,76,22,16,155,676,45,205,10,545,71,26,38,51,25,9,522,311,198,51,8,116,7,13,126,22,1108,23,1300,249,4,168,105,135,331,2,16,108,3,71,587,5,12,36,5,908,555,7,28,8,132
101,Kosovo,410,0,2,9,2,9,2,26,0,0,12,10,0,0,4,29,2,2,2,8,0,0,5,12,24,2,0,7,0,0,0,0,22,3,143,8,0,2,4,4,13,0,0,2,0,5,16,0,0,2,0,17,2,0,2,0,1
102,Kuwait,677,6,2,14,3,86,0,4,5,2,30,17,0,2,3,57,10,6,6,3,15,4,14,23,51,6,2,10,0,2,3,3,33,0,49,23,0,41,2,3,13,0,0,4,0,11,54,0,2,4,0,30,13,0,8,0,3
103,Kyrgyzstan,412,0,2,2,2,47,2,2,0,4,22,7,0,2,2,36,2,0,3,4,0,0,18,19,0,4,2,6,2,2,2,0,6,0,73,10,2,12,2,12,20,0,2,10,0,2,9,0,0,2,0,21,36,0,3,0,8
104,Laos,1726,4,11,13,28,423,17,7,0,0,34,45,0,16,11,23,6,32,21,2,3,2,6,20,26,319,0,16,2,8,12,4,2,6,25,73,0,19,13,38,23,0,40,10,3,54,54,0,0,13,0,21,52,2,141,0,28
105,Latvia,306,0,2,4,0,52,4,6,2,0,22,11,0,2,2,21,2,0,2,0,2,2,9,19,6,3,0,3,0,0,2,2,12,2,50,4,0,12,2,5,13,0,0,2,0,2,5,0,0,2,0,9,8,0,4,2,2
106,Lebanon,2081,0,0,26,3,389,6,10,0,4,113,32,0,0,2,48,13,2,10,9,10,2,23,152,554,12,2,17,0,3,11,11,67,2,114,22,0,86,10,13,30,2,16,6,2,6,122,0,0,6,0,76,18,2,9,2,11
107,Lesotho,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
