,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,4968.0,4107.0,2114.0,3844.0,1392.0,2517.0,568.0,2604.0,3118.0,5116.0,3348.0,5109.0,10464.0,4572.0,566.0
Asia Other,81309.0,14602.0,7637.0,12187.0,8136.0,10610.0,1190.0,7138.0,6623.0,11611.0,8703.0,12419.0,21124.0,7578.0,6890.0
Europe,17573.0,3768.0,8352.0,13439.0,6732.0,6343.0,1151.0,4515.0,2929.0,13963.0,6773.0,4455.0,14846.0,9076.0,1253.0
N.Amer. Other,36944.0,9016.0,78181.0,35353.0,1864.0,5434.0,703.0,2856.0,5328.0,3234.0,2547.0,6980.0,23893.0,13298.0,4122.0
Oceania,2192.0,201.0,134.0,162.0,330.0,520.0,44.0,122.0,74.0,129.0,117.0,157.0,174.0,114.0,310.0
S.Amer.,8158.0,3446.0,24583.0,14459.0,637.0,2467.0,210.0,1183.0,2027.0,2046.0,998.0,4465.0,14169.0,4801.0,1177.0
Mexico,118062.0,40068.0,4182.0,1751.0,5628.0,26779.0,2330.0,5856.0,3030.0,15429.0,2538.0,2259.0,2199.0,545.0,1156.0
India,14126.0,4839.0,2123.0,3488.0,1581.0,1644.0,223.0,2454.0,2444.0,5996.0,4706.0,4590.0,14644.0,2779.0,310.0
China,14463.0,1831.0,762.0,5867.0,1609.0,1279.0,181.0,939.0,739.0,2041.0,1587.0,1465.0,4328.0,2321.0,597.0
