,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,6941.0,10299.0,2840.0,10059.0,4144.0,6168.0,3017.0,10225.0,5794.0,12875.0,9646.0,8294.0,16814.0,8374.0,240.0
Asia Other,66945.0,23699.0,9514.0,30105.0,11450.0,12870.0,4087.0,12460.0,9995.0,15405.0,18944.0,16195.0,23356.0,10474.0,6652.0
Europe,13704.0,3541.0,7138.0,11875.0,4989.0,3014.0,705.0,2175.0,1997.0,7820.0,4282.0,3934.0,8746.0,5625.0,479.0
N.Amer. Other,19279.0,17047.0,82266.0,45132.0,2501.0,6430.0,2118.0,7569.0,7071.0,3276.0,4031.0,9811.0,29977.0,16599.0,4029.0
Oceania,1586.0,227.0,153.0,457.0,493.0,378.0,46.0,151.0,84.0,175.0,190.0,159.0,257.0,145.0,155.0
S.Amer.,5519.0,4401.0,20733.0,13687.0,1025.0,2363.0,345.0,1657.0,2518.0,2504.0,1844.0,4131.0,11409.0,6225.0,479.0
Mexico,53572.0,36535.0,4048.0,2786.0,5872.0,18538.0,2053.0,7787.0,4846.0,12484.0,4291.0,5127.0,2968.0,719.0,229.0
India,12617.0,5646.0,1982.0,4267.0,2306.0,1485.0,245.0,2307.0,3099.0,5138.0,3690.0,3613.0,10555.0,2812.0,60.0
China,20600.0,3062.0,1635.0,16381.0,2910.0,1829.0,365.0,1611.0,1496.0,2592.0,2034.0,2013.0,5198.0,2904.0,584.0
