AsylumRegion,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Total,13493,17337,15099,14447,17673,11472,15653,24317,27226,16864
Africa,3108,5036,4812,4230,3702,2022,2757,4343,5326,3478
Asia,6470,7993,7493,7411,6581,4326,5675,7814,9322,6549
Europe,941,1152,748,547,701,464,655,1538,1845,1075
North America,1534,1638,1121,1563,5741,4111,5804,4280,3849,1887
Oceania,18,16,10,20,4,7,5,3,3,4
South America,1332,1429,844,625,892,502,678,6240,6766,3796
Unknown,90,73,71,51,52,40,79,99,115,75
