,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,4515.0,4968.0,1954.0,6382.0,1760.0,2710.0,1086.0,3382.0,3190.0,5946.0,3905.0,6005.0,10827.0,5231.0,269.0
Asia Other,49827.0,11843.0,6193.0,15580.0,5254.0,8102.0,1572.0,6142.0,5286.0,10694.0,10112.0,10335.0,14014.0,6369.0,3701.0
Europe,9625.0,2718.0,6042.0,10087.0,3269.0,3235.0,672.0,2556.0,2031.0,8249.0,3911.0,3955.0,8065.0,6231.0,679.0
N.Amer. Other,14354.0,5078.0,41339.0,23608.0,1019.0,3077.0,559.0,2069.0,3220.0,2020.0,1761.0,5144.0,12498.0,9009.0,2903.0
Oceania,1288.0,188.0,102.0,160.0,257.0,241.0,32.0,80.0,13.0,67.0,51.0,6.0,46.0,107.0,251.0
S.Amer.,4615.0,2814.0,19393.0,9763.0,467.0,1808.0,97.0,936.0,1900.0,1608.0,855.0,3554.0,7732.0,4381.0,559.0
Mexico,38597.0,20403.0,2523.0,1192.0,2882.0,10880.0,1242.0,2918.0,1863.0,6184.0,1713.0,2314.0,1433.0,426.0,319.0
India,8327.0,3624.0,1400.0,2673.0,944.0,838.0,145.0,1497.0,1760.0,2957.0,2217.0,2643.0,6803.0,1935.0,92.0
China,9065.0,1237.0,681.0,8263.0,754.0,876.0,127.0,777.0,711.0,1402.0,927.0,1171.0,2375.0,1592.0,326.0
