"","X","NATZin","NATZs"
"1","Africa","CA",4456
"2","Africa","TX",2941
"3","Africa","FL",1216
"4","Africa","NY",3893
"5","Africa","WA.OR",1314
"6","Africa","AZ.NM.NV.UT.CO",1333
"7","Africa","MT.WY.ID.ND.SD.NE",262
"8","Africa","KS.OK.MO.AR.IA.TN.KY",1304
"9","Africa","LA.MS.AL.GA",1382
"10","Africa","MN.WI.IL",4053
"11","Africa","IN.MI.OH.WV",2815
"12","Africa","SC.NC.VA",3389
"13","Africa","MD.DC.DE.PA.NJ",6260
"14","Africa","CT.RI.MA.NH.VT.ME",3629
"15","Africa","Other",534
"16","Asia Other","CA",67227
"17","Asia Other","TX",10478
"18","Asia Other","FL",4343
"19","Asia Other","NY",14389
"20","Asia Other","WA.OR",7532
"21","Asia Other","AZ.NM.NV.UT.CO",5726
"22","Asia Other","MT.WY.ID.ND.SD.NE",756
"23","Asia Other","KS.OK.MO.AR.IA.TN.KY",4252
"24","Asia Other","LA.MS.AL.GA",3237
"25","Asia Other","MN.WI.IL",9953
"26","Asia Other","IN.MI.OH.WV",7417
"27","Asia Other","SC.NC.VA",8460
"28","Asia Other","MD.DC.DE.PA.NJ",13249
"29","Asia Other","CT.RI.MA.NH.VT.ME",6961
"30","Asia Other","Other",5412
"31","Europe","CA",15318
"32","Europe","TX",2912
"33","Europe","FL",4995
"34","Europe","NY",16928
"35","Europe","WA.OR",5042
"36","Europe","AZ.NM.NV.UT.CO",4344
"37","Europe","MT.WY.ID.ND.SD.NE",912
"38","Europe","KS.OK.MO.AR.IA.TN.KY",2559
"39","Europe","LA.MS.AL.GA",1633
"40","Europe","MN.WI.IL",11446
"41","Europe","IN.MI.OH.WV",6728
"42","Europe","SC.NC.VA",3156
"43","Europe","MD.DC.DE.PA.NJ",10740
"44","Europe","CT.RI.MA.NH.VT.ME",8953
"45","Europe","Other",1705
"46","N.Amer. Other","CA",14986
"47","N.Amer. Other","TX",3411
"48","N.Amer. Other","FL",22212
"49","N.Amer. Other","NY",25932
"50","N.Amer. Other","WA.OR",1116
"51","N.Amer. Other","AZ.NM.NV.UT.CO",2022
"52","N.Amer. Other","MT.WY.ID.ND.SD.NE",351
"53","N.Amer. Other","KS.OK.MO.AR.IA.TN.KY",1235
"54","N.Amer. Other","LA.MS.AL.GA",1889
"55","N.Amer. Other","MN.WI.IL",1776
"56","N.Amer. Other","IN.MI.OH.WV",1609
"57","N.Amer. Other","SC.NC.VA",3330
"58","N.Amer. Other","MD.DC.DE.PA.NJ",11684
"59","N.Amer. Other","CT.RI.MA.NH.VT.ME",8968
"60","N.Amer. Other","Other",1350
"61","Oceania","CA",1921
"62","Oceania","TX",239
"63","Oceania","FL",87
"64","Oceania","NY",128
"65","Oceania","WA.OR",333
"66","Oceania","AZ.NM.NV.UT.CO",255
"67","Oceania","MT.WY.ID.ND.SD.NE",41
"68","Oceania","KS.OK.MO.AR.IA.TN.KY",62
"69","Oceania","LA.MS.AL.GA",37
"70","Oceania","MN.WI.IL",85
"71","Oceania","IN.MI.OH.WV",77
"72","Oceania","SC.NC.VA",113
"73","Oceania","MD.DC.DE.PA.NJ",120
"74","Oceania","CT.RI.MA.NH.VT.ME",122
"75","Oceania","Other",275
"76","S.Amer.","CA",5116
