,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,8578.0,10255.0,3157.0,12046.0,5590.0,7241.0,2758.0,8030.0,6980.0,14482.0,8393.0,8768.0,20353.0,10251.0,145.0
Asia Other,87481.0,20982.0,9685.0,33681.0,11618.0,13465.0,2552.0,10360.0,10028.0,15970.0,16827.0,16603.0,25115.0,9456.0,7686.0
Europe,14789.0,4796.0,8808.0,15113.0,6539.0,4909.0,907.0,3526.0,3450.0,10771.0,5943.0,5461.0,11749.0,7994.0,618.0
N.Amer. Other,17056.0,8213.0,65354.0,46323.0,2558.0,4903.0,901.0,3830.0,5465.0,3498.0,3022.0,6698.0,24118.0,13952.0,3430.0
Oceania,2022.0,267.0,197.0,385.0,471.0,445.0,59.0,205.0,155.0,238.0,182.0,203.0,307.0,194.0,246.0
S.Amer.,7950.0,4844.0,32204.0,16850.0,1033.0,3067.0,382.0,1774.0,3611.0,2488.0,1532.0,5428.0,13993.0,6831.0,847.0
Mexico,59814.0,38597.0,4407.0,1858.0,4753.0,19331.0,2070.0,7081.0,4428.0,11347.0,3026.0,4582.0,2751.0,625.0,249.0
India,12826.0,4716.0,1675.0,4410.0,2066.0,1329.0,217.0,2139.0,2593.0,5051.0,3107.0,3279.0,11015.0,2814.0,51.0
China,17139.0,2616.0,1366.0,19921.0,1928.0,1798.0,330.0,1680.0,1429.0,2624.0,1977.0,2045.0,5288.0,3188.0,840.0
