,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,6002.0,7893.0,2338.0,7455.0,2579.0,3441.0,1479.0,4639.0,3103.0,6159.0,4766.0,5530.0,13374.0,6110.0,1137.0
Asia Other,61049.0,18733.0,7678.0,21327.0,8537.0,10359.0,2366.0,8015.0,5661.0,9914.0,11454.0,11376.0,18465.0,7765.0,6258.0
Europe,12821.0,3496.0,8091.0,10838.0,3951.0,3782.0,702.0,2023.0,1645.0,6928.0,3464.0,3276.0,8367.0,6527.0,1167.0
N.Amer. Other,16883.0,9047.0,63139.0,28090.0,1743.0,4601.0,736.0,3705.0,3903.0,1882.0,2422.0,5681.0,18587.0,11467.0,3195.0
Oceania,1550.0,218.0,169.0,263.0,4.0,290.0,51.0,158.0,16.0,117.0,62.0,19.0,140.0,100.0,250.0
S.Amer.,6066.0,4353.0,22072.0,11099.0,877.0,2401.0,230.0,1234.0,1870.0,1544.0,1137.0,3573.0,9518.0,5473.0,1214.0
Mexico,45960.0,24621.0,3112.0,1660.0,3793.0,13266.0,1081.0,3992.0,2253.0,5420.0,2153.0,2293.0,1737.0,604.0,1323.0
India,11319.0,7028.0,1956.0,3365.0,2563.0,1742.0,239.0,1831.0,2350.0,4037.0,3215.0,3699.0,10402.0,2932.0,362.0
China,10197.0,1629.0,674.0,5892.0,1516.0,860.0,147.0,646.0,511.0,1088.0,864.0,878.0,2421.0,1438.0,466.0
