,NaturalizedCountry2014,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,653416,1266,1076,11268,1671,140234,5965,8336,1175,1626,79637,15242,709,2931,1560,26224,4274,2000,2743,2663,2616,909,13707,21608,11809,9176,931,4250,304,2348,7891,1413,32939,2426,77717,11160,525,9032,2472,4363,14500,2439,2479,4486,676,4613,52879,213,625,4314,552,19646,12246,415,3770,217,1150
1,Afghanistan,1853,2,0,73,2,591,29,14,4,0,24,45,0,0,21,11,13,2,4,2,5,4,27,19,8,4,0,29,0,8,28,3,51,6,189,18,2,7,2,16,61,0,2,9,2,20,83,0,0,10,2,377,22,2,5,0,2
2,Albania,3131,2,3,20,2,50,4,177,2,10,293,5,0,2,3,226,3,5,4,2,0,3,17,363,402,6,0,28,2,2,29,14,137,2,841,13,0,63,5,2,189,0,0,23,2,11,49,0,0,9,0,49,15,2,40,0,5
3,Algeria,928,0,0,5,0,130,18,12,0,6,39,17,0,0,0,61,11,0,8,6,9,0,16,72,21,13,2,4,0,2,4,2,72,2,138,23,0,33,2,2,84,0,2,4,2,2,54,0,0,0,0,45,2,0,8,0,2
4,American Samoa,187,0,18,2,0,30,2,0,0,0,2,11,0,23,0,0,2,0,5,2,2,0,0,0,0,2,0,7,0,0,5,0,0,0,2,3,0,0,5,0,0,0,0,12,0,2,7,2,0,19,0,5,24,0,0,0,2
5,Andorra,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Angola,145,2,0,2,0,7,0,6,0,0,11,2,0,0,0,2,3,0,0,2,2,2,3,42,2,2,0,0,0,0,0,0,13,0,9,6,0,2,0,2,4,0,6,0,0,2,14,0,0,0,0,5,0,0,0,0,0
7,Anguilla,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0
8,Antigua-Barbuda,358,0,2,2,2,6,0,10,2,2,52,16,0,0,0,2,0,0,0,2,2,0,7,10,2,2,0,0,0,0,2,0,21,0,163,5,0,2,2,0,4,0,0,2,0,2,9,0,30,0,0,4,0,0,0,0,2
9,Argentina,3683,4,3,22,7,521,45,57,2,13,1446,65,0,8,2,74,25,4,7,8,12,4,46,77,22,26,2,10,3,2,36,4,188,11,298,52,2,41,2,10,53,36,4,26,0,27,192,0,0,57,2,82,21,0,16,2,6
10,Armenia,2488,0,0,6,0,2021,18,2,0,7,19,3,0,0,0,17,2,2,2,3,2,0,14,50,12,0,0,3,0,2,40,0,25,2,106,4,2,23,2,6,19,0,5,3,2,2,22,0,0,6,2,16,19,0,2,0,0
11,Aruba,28,2,0,0,0,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,3,2,5,0,0,0,0,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0
12,Australia,1159,4,2,25,4,267,34,22,2,5,65,35,3,10,11,31,9,4,2,9,2,7,26,35,17,22,2,8,0,2,21,3,41,3,114,30,0,13,3,13,19,0,6,6,2,23,72,0,2,24,2,42,47,2,8,0,5
13,Austria,223,2,2,4,0,38,5,5,0,3,15,7,0,2,2,12,2,2,2,2,2,2,5,8,6,2,0,2,0,0,3,2,11,2,17,3,0,3,2,3,6,0,0,5,0,2,15,0,0,2,0,11,5,0,5,2,0
14,Azerbaijan,585,0,2,4,0,198,5,6,2,2,23,12,0,0,2,14,2,0,2,8,2,2,10,22,14,4,0,2,0,2,5,2,15,0,121,10,0,8,0,4,16,0,2,2,0,2,27,0,0,2,0,14,20,0,4,0,0
15,Bahamas,545,2,0,0,0,11,0,2,0,0,370,36,0,0,0,7,2,2,0,3,4,0,3,9,2,2,2,2,0,0,6,0,7,0,14,15,0,4,0,0,9,0,2,7,0,4,12,0,0,0,0,10,0,0,0,0,2
16,Bahrain,90,0,0,4,0,16,2,0,0,0,5,4,0,0,0,5,0,2,0,0,0,0,0,2,6,2,0,0,0,0,0,0,6,0,13,0,0,2,2,2,5,0,0,2,0,2,11,0,0,0,0,2,2,0,2,0,0
17,Bangladesh,7475,16,5,56,27,507,11,124,23,14,396,203,2,2,2,103,37,2,22,13,24,4,147,141,379,40,14,29,0,5,28,4,493,3,3436,31,2,44,16,7,233,0,3,24,2,20,408,0,2,8,4,305,31,10,11,0,5
18,Barbados,550,0,2,2,0,7,2,12,2,0,62,21,0,2,0,6,2,0,0,2,2,0,9,50,2,3,0,0,2,0,2,2,26,0,257,12,0,4,2,2,18,0,3,4,0,2,15,0,2,0,0,11,3,2,2,0,4
19,Belarus,1437,0,3,5,2,198,36,28,3,2,76,21,0,2,4,87,9,2,4,10,2,3,16,88,7,62,0,16,3,2,13,4,66,2,280,34,0,27,8,16,83,0,10,22,0,6,28,0,0,4,2,46,80,2,15,2,2
20,Belgium,408,4,2,2,2,69,6,7,2,5,32,12,0,0,2,12,4,3,2,2,3,4,7,11,10,6,0,3,2,0,5,2,18,0,50,16,0,2,3,7,14,0,2,6,0,3,32,2,2,5,2,12,11,0,7,0,2
