,NaturalizedRegion2019,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,843593,2982,1144,14277,2327,148765,10840,8460,1547,2090,96149,25858,578,4110,1660,30472,7386,4984,3875,4723,3130,1076,19349,22894,16464,14092,1138,5501,361,3662,9046,1585,36661,3363,85444,17314,719,14004,3790,6715,21014,1127,2312,3995,780,6720,97675,367,797,5365,614,23345,18510,492,5692,330,15923
1,Africa,84990,322,88,1034,134,5149,1695,687,340,703,2642,4147,0,52,178,2222,1112,1260,636,958,225,251,5654,3641,1150,5813,80,916,21,754,546,193,3655,105,6340,2423,332,3539,415,504,3138,5,511,313,241,1463,9630,42,4,417,87,4108,2218,63,678,23,2133
2,Asia,327273,1433,605,4469,909,74498,3708,2478,592,407,11041,10219,567,3370,582,13211,3848,2243,1674,2199,1378,426,7180,7877,10885,5427,566,2599,112,1793,3686,672,14149,670,31683,7226,250,7418,1627,2781,9483,41,415,1486,390,2819,34709,175,209,1627,302,11481,9039,219,2645,105,5670
3,Europe,81040,309,177,1114,166,10418,1523,1568,122,299,7790,2271,0,227,179,7032,619,400,204,355,281,191,1335,3249,2218,866,89,760,101,142,754,280,4046,184,10080,1779,41,1289,247,1032,2991,46,251,778,62,608,4534,65,18,427,127,1892,3158,77,764,51,1454
4,North America,276910,705,190,7146,1015,52828,3184,2307,381,464,54603,6898,4,196,659,6813,1546,933,1206,1037,1000,156,3886,5823,1795,1445,331,968,86,880,3584,262,8877,2285,26344,4396,85,1251,1289,2091,4230,830,904,948,73,1432,43257,59,549,1815,73,3760,3298,87,1323,131,5192
5,Oceania,4308,24,53,84,17,1348,113,32,3,14,168,81,2,170,14,79,16,21,13,17,18,13,55,62,51,35,5,38,9,10,62,14,57,15,246,91,2,49,13,80,58,2,7,20,0,41,291,2,5,191,4,75,277,2,32,3,102
6,South America,68678,187,31,425,84,4482,614,1388,108,202,19863,2235,2,92,48,1091,242,126,139,153,218,39,1227,2236,358,502,67,215,32,81,413,163,5858,101,10729,1390,2,451,199,225,1106,2,224,448,14,352,5219,2,12,885,21,2017,519,2,248,17,1299
7,Unknown,394,2,0,5,2,42,3,0,1,1,42,7,0,3,0,24,3,1,3,4,10,0,12,6,7,4,0,5,0,2,1,1,19,3,22,9,0,7,0,2,8,0,0,2,0,5,35,0,0,3,0,12,1,0,2,0,73
