,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,5149.0,9630.0,2642.0,6340.0,2722.0,3797.0,1549.0,5782.0,4774.0,8713.0,5864.0,6844.0,13490.0,5370.0,2324.0
Asia Other,51945.0,22811.0,8162.0,19793.0,8241.0,11125.0,2825.0,10560.0,8457.0,14206.0,17284.0,13525.0,18071.0,7416.0,8732.0
Europe,10418.0,4534.0,7790.0,10080.0,4190.0,4002.0,576.0,2740.0,2950.0,8662.0,4203.0,4449.0,8793.0,5666.0,1987.0
N.Amer. Other,12738.0,9292.0,51852.0,24803.0,1601.0,3987.0,646.0,3144.0,5444.0,2461.0,2437.0,6322.0,16053.0,9056.0,4788.0
Oceania,1348.0,291.0,168.0,246.0,357.0,465.0,38.0,160.0,128.0,146.0,118.0,186.0,187.0,132.0,336.0
S.Amer.,4482.0,5219.0,19863.0,10729.0,744.0,2438.0,194.0,1268.0,2707.0,1841.0,1053.0,3855.0,8501.0,4071.0,1440.0
Mexico,40090.0,33965.0,2751.0,1541.0,3788.0,14027.0,1268.0,4736.0,3490.0,7120.0,2242.0,2782.0,1785.0,469.0,2232.0
India,11678.0,9116.0,1940.0,3363.0,2015.0,1694.0,233.0,2409.0,3951.0,5146.0,3696.0,5179.0,10561.0,2716.0,933.0
China,10875.0,2782.0,939.0,8527.0,1564.0,1341.0,174.0,1101.0,1188.0,1931.0,1390.0,1489.0,3179.0,2038.0,972.0
