,Unnamed: 0,Region and country of last residence1,1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010 to 2019,2020
65,65,Chile ,0,0,0,0,25,92,44,66,0,0,0,568,1320,4669,12384,15032,19749,18200,19792,17142,1572
66,66,Colombia ,0,0,0,0,2,196,1210,607,0,0,0,1278,3454,15567,68371,71265,105494,137985,236570,186833,11375
67,67,Ecuador ,0,0,0,0,0,7,14,33,0,0,0,320,2207,8574,34107,47464,48015,81358,107977,107624,6166
68,68,Guyana ,0,0,0,0,41,95,68,27,0,0,0,193,596,1131,4546,38278,85886,74407,70373,53921,2748
69,69,Paraguay ,0,0,0,0,0,2,0,0,0,0,0,36,85,576,1249,1486,3518,6082,4623,4117,237
70,70,Peru ,0,0,0,0,35,127,25,79,0,0,0,460,1273,5980,19783,25311,49958,110117,137614,112753,5450
71,71,Suriname ,0,0,0,0,0,0,0,0,0,0,0,33,130,299,612,714,1357,2285,2363,1582,98
72,72,Uruguay ,0,0,0,0,0,22,4,144,0,0,0,153,754,1026,4089,8416,7235,6062,9827,11420,673
73,73,Venezuela ,0,0,0,0,36,190,248,0,0,0,0,1360,2182,9927,20758,11007,22405,35180,82087,103671,11523
74,74,Other South America ,405,957,1062,3569,1358,96,78,305,15253,39938,38398,2647,7,17,28,18,2,0,2,9,0
75,75,Other America ,1,6,11,56,80,879,5019,1406,73,0,29,25,25284,60140,22067,603,83,37,19,14,3
76,76,Africa,19,66,67,104,458,441,768,432,6326,8867,6362,2120,6720,13016,23780,71405,141987,346410,759734,1037674,76789
77,77,Egypt ,0,0,0,5,8,29,145,51,0,0,1063,781,1613,1996,5581,23543,26744,44604,81564,112364,6720
78,78,Ethiopia ,0,0,0,0,0,0,0,0,0,0,0,10,28,302,804,2588,12927,40097,87207,135665,6468
79,79,Liberia ,1,8,5,7,43,52,21,9,0,0,0,35,37,289,841,2391,6420,13587,23316,33846,1600
80,80,Morocco ,0,4,1,0,0,15,12,9,0,0,0,110,1463,3293,2880,1967,3471,15768,40844,38029,2773
81,81,South Africa ,0,0,0,0,79,48,23,9,0,0,0,312,1022,2278,4360,10002,15505,21964,32221,31072,2927
82,82,Other Africa,18,54,61,92,328,297,567,354,6326,8867,5299,872,2557,4858,9314,30914,76920,210390,494582,686698,56301
83,83,Oceania,2,1,3,110,107,9094,7341,3279,11677,12339,9860,3240,14262,11319,23659,39983,41432,56800,65793,59663,4748
84,84,Australia20,2,1,2,104,96,8933,7250,3098,11191,11280,8404,2260,11201,8275,14986,18708,16901,24288,32728,35399,2843
85,85,New Zealand20,0,0,0,2,6,39,21,12,0,0,935,790,2351,1799,3775,5018,6129,8600,12495,9627,704
86,86,Other Oceania,0,0,1,4,5,122,70,169,486,1059,521,190,710,1245,4898,16257,18402,23912,20570,14637,1201
87,87,Not Specified21,19173,83495,7196,71442,15472,592,778,14112,33493,488,930,0,135,12472,119,326,305406,25928,211930,133422,19045
