,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,4437.0,7245.0,2272.0,6040.0,2225.0,3384.0,1234.0,4822.0,3800.0,5309.0,5279.0,4750.0,10500.0,4621.0,289.0
Asia Other,36340.0,14669.0,7790.0,16006.0,6528.0,6918.0,1717.0,7124.0,6152.0,8010.0,9545.0,10476.0,12516.0,5316.0,2914.0
Europe,10453.0,3296.0,6692.0,8652.0,3182.0,2826.0,542.0,1921.0,1745.0,5138.0,2947.0,3131.0,6319.0,4146.0,531.0
N.Amer. Other,11138.0,9679.0,36896.0,21883.0,1659.0,3999.0,967.0,3915.0,4586.0,2188.0,2844.0,6496.0,16631.0,8643.0,1680.0
Oceania,1183.0,259.0,159.0,431.0,360.0,412.0,40.0,116.0,121.0,183.0,140.0,170.0,223.0,146.0,109.0
S.Amer.,4813.0,4566.0,22632.0,9384.0,1074.0,2948.0,357.0,1668.0,2221.0,2511.0,2120.0,3654.0,7919.0,4938.0,564.0
Mexico,31715.0,25282.0,2796.0,2097.0,4078.0,14886.0,1310.0,5031.0,3029.0,7528.0,3105.0,3281.0,2084.0,650.0,359.0
India,17299.0,11128.0,2874.0,3669.0,5725.0,3175.0,557.0,4011.0,4438.0,6880.0,5663.0,6964.0,15824.0,5163.0,77.0
China,17705.0,2679.0,1037.0,7812.0,3660.0,1686.0,252.0,1137.0,1048.0,2135.0,1855.0,1568.0,4054.0,2628.0,582.0
