,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,7321.0,8901.0,2730.0,10486.0,3543.0,4412.0,1513.0,6033.0,5222.0,8326.0,6037.0,7821.0,18479.0,7280.0,193.0
Asia Other,68595.0,21039.0,9414.0,29402.0,10112.0,11709.0,3480.0,11375.0,9834.0,14575.0,15211.0,15150.0,23944.0,9204.0,6885.0
Europe,12861.0,4304.0,7983.0,13630.0,3961.0,3539.0,706.0,2726.0,2721.0,8460.0,4428.0,4332.0,9980.0,6350.0,546.0
N.Amer. Other,14781.0,8082.0,53431.0,38408.0,2053.0,4005.0,1020.0,3687.0,4757.0,2912.0,2617.0,6587.0,22928.0,12126.0,2484.0
Oceania,1857.0,280.0,177.0,484.0,448.0,449.0,52.0,171.0,124.0,182.0,174.0,192.0,261.0,200.0,177.0
S.Amer.,5977.0,4839.0,22236.0,14384.0,821.0,2448.0,300.0,1439.0,2669.0,2271.0,1214.0,4487.0,11801.0,5445.0,578.0
Mexico,45908.0,35136.0,3146.0,1689.0,4042.0,15917.0,1875.0,6123.0,3722.0,8653.0,2786.0,3095.0,2184.0,539.0,210.0
India,13735.0,6499.0,2014.0,4445.0,2684.0,1641.0,316.0,2818.0,3222.0,5965.0,4305.0,4551.0,12822.0,3389.0,34.0
China,20134.0,3281.0,1595.0,20218.0,2414.0,1996.0,368.0,2047.0,1913.0,3137.0,2281.0,2563.0,5627.0,3390.0,759.0
