,NaturalizedRegion2011,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,694193,2439,1115,12784,1559,151183,7805,8370,1470,1016,87309,17761,675,3450,1473,29133,4085,1840,2687,2778,2496,999,15790,22812,10414,11044,965,4175,297,1876,8519,1607,33826,2434,76603,11360,369,9326,2966,5657,16162,1692,2682,4033,420,5396,52927,1167,686,3595,431,13782,17317,348,4434,228,6426
1,Africa,69738,324,58,1032,88,5686,1131,660,345,375,2388,3253,2,53,80,2333,592,357,392,431,186,410,5017,3733,812,5401,68,652,20,483,649,202,3338,65,5770,1839,118,2680,387,471,2591,2,602,435,141,1337,5409,90,11,339,74,2697,2460,37,437,19,1174
2,Asia,249940,1101,595,3156,547,78467,2133,2327,514,189,9868,6177,623,2665,337,10616,1635,521,1029,1066,1122,255,5317,6619,5739,3429,492,1581,83,483,3412,542,12553,451,26220,3857,97,3467,1112,1974,6700,2,460,1352,100,2073,17671,388,78,789,118,6039,7108,159,1995,2,2425
3,Europe,82209,296,191,1377,113,10760,1324,2014,152,142,7103,1936,2,221,253,7569,560,357,177,533,208,179,1383,3585,2308,915,85,1018,89,154,852,402,4656,230,11460,1490,83,1611,280,1288,2734,54,2,649,98,608,2953,154,17,406,130,1349,3962,63,712,33,666
4,North America,217750,553,175,6709,722,49466,2662,1840,362,207,43350,4419,9,234,724,7326,1057,531,922,566,757,116,2828,5555,1225,885,236,662,74,679,3110,250,7313,1591,22819,2833,57,1015,951,1678,3076,1305,1049,965,68,1012,23755,388,555,1320,69,2096,3063,54,1064,92,1351
5,Oceania,3734,2,36,60,8,1568,73,25,3,8,100,57,13,157,14,51,13,9,14,17,7,5,40,79,33,23,8,40,7,2,57,13,46,13,134,47,2,37,21,74,42,0,2,32,3,19,172,39,4,124,5,68,257,2,20,2,24
6,South America,70485,2,60,443,80,5195,480,1502,94,95,24473,1914,10,120,65,1209,222,64,151,159,204,34,1200,3241,277,390,76,212,24,2,438,198,5914,84,10178,1276,2,488,213,172,1018,279,319,599,10,337,2938,108,17,616,35,1522,463,2,204,13,771
7,Unknown,337,2,0,7,1,41,2,2,0,0,27,5,0,0,0,29,6,1,2,6,12,0,5,0,20,1,0,10,0,1,1,0,6,0,22,18,0,28,2,0,1,2,0,1,0,10,29,0,4,1,0,11,4,0,2,0,15
