,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,5686.0,5409.0,2388.0,5770.0,2931.0,3216.0,861.0,3644.0,3831.0,8171.0,4121.0,4971.0,11666.0,5681.0,1379.0
Asia Other,58299.0,12008.0,7194.0,15565.0,6505.0,7727.0,819.0,5393.0,5663.0,10646.0,7430.0,7696.0,14455.0,5884.0,5637.0
Europe,10760.0,2953.0,7103.0,11460.0,5250.0,4189.0,710.0,3086.0,2525.0,9196.0,4542.0,3488.0,9067.0,6312.0,1288.0
N.Amer. Other,12455.0,4893.0,41020.0,21856.0,1394.0,3190.0,451.0,2083.0,3629.0,2168.0,1688.0,3965.0,12359.0,8481.0,2781.0
Oceania,1568.0,172.0,100.0,134.0,331.0,327.0,30.0,128.0,74.0,94.0,85.0,147.0,139.0,129.0,269.0
S.Amer.,5195.0,2938.0,24473.0,10178.0,635.0,2061.0,116.0,1216.0,2196.0,1803.0,989.0,3397.0,8321.0,5329.0,1348.0
Mexico,37011.0,18862.0,2330.0,963.0,3347.0,12202.0,1243.0,3283.0,2336.0,7107.0,1663.0,1929.0,1427.0,398.0,681.0
India,9549.0,4216.0,1834.0,3326.0,1401.0,1169.0,147.0,1762.0,2400.0,3885.0,2662.0,2572.0,8110.0,2429.0,511.0
China,10619.0,1447.0,840.0,7329.0,1176.0,1045.0,136.0,774.0,829.0,1509.0,908.0,980.0,2708.0,2008.0,550.0
