"","X","LPRin","LPRs"
"1","Africa","CA",7138
"2","Africa","TX",8474
"3","Africa","FL",2744
"4","Africa","NY",10513
"5","Africa","WA.OR",3507
"6","Africa","AZ.NM.NV.UT.CO",4784
"7","Africa","MT.WY.ID.ND.SD.NE",1758
"8","Africa","KS.OK.MO.AR.IA.TN.KY",6144
"9","Africa","LA.MS.AL.GA",5678
"10","Africa","MN.WI.IL",8831
"11","Africa","IN.MI.OH.WV",6073
"12","Africa","SC.NC.VA",8554
"13","Africa","MD.DC.DE.PA.NJ",18989
"14","Africa","CT.RI.MA.NH.VT.ME",7960
"15","Africa","Other",186
"16","Asia Other","CA",80539
"17","Asia Other","TX",21204
"18","Asia Other","FL",9426
"19","Asia Other","NY",31855
"20","Asia Other","WA.OR",10676
"21","Asia Other","AZ.NM.NV.UT.CO",14419
"22","Asia Other","MT.WY.ID.ND.SD.NE",3497
"23","Asia Other","KS.OK.MO.AR.IA.TN.KY",11286
"24","Asia Other","LA.MS.AL.GA",9720
"25","Asia Other","MN.WI.IL",14494
"26","Asia Other","IN.MI.OH.WV",16684
"27","Asia Other","SC.NC.VA",15659
"28","Asia Other","MD.DC.DE.PA.NJ",24089
"29","Asia Other","CT.RI.MA.NH.VT.ME",10164
"30","Asia Other","Other",7881
"31","Europe","CA",12202
"32","Europe","TX",4158
"33","Europe","FL",7363
"34","Europe","NY",14269
"35","Europe","WA.OR",4220
"36","Europe","AZ.NM.NV.UT.CO",4078
"37","Europe","MT.WY.ID.ND.SD.NE",712
"38","Europe","KS.OK.MO.AR.IA.TN.KY",3033
"39","Europe","LA.MS.AL.GA",2928
"40","Europe","MN.WI.IL",9115
"41","Europe","IN.MI.OH.WV",4902
"42","Europe","SC.NC.VA",4154
"43","Europe","MD.DC.DE.PA.NJ",10423
"44","Europe","CT.RI.MA.NH.VT.ME",6496
"45","Europe","Other",675
"46","N.Amer. Other","CA",15475
"47","N.Amer. Other","TX",7312
