,NaturalizedCountry2011,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
64,Eritrea,985,2,0,14,2,203,35,3,4,20,11,36,0,0,0,24,10,2,0,2,4,2,72,19,7,45,0,7,0,2,35,0,4,0,27,28,0,32,4,14,13,0,0,4,7,10,87,0,2,4,0,61,107,0,2,0,21
65,Estonia,217,0,0,0,2,34,8,2,0,0,35,2,0,0,2,11,2,0,0,2,0,0,5,7,4,8,0,3,0,2,2,0,16,2,18,4,0,6,2,2,7,0,2,0,0,2,3,2,0,2,0,7,21,0,2,0,1
66,Ethiopia,8519,12,4,85,0,960,329,23,10,215,107,567,0,7,6,201,31,14,49,26,18,9,833,201,52,799,2,89,0,27,368,0,65,4,169,137,2,226,16,101,132,0,8,20,51,196,657,3,0,26,0,691,656,8,16,0,291
67,Fiji,1118,0,5,7,0,887,2,2,2,0,2,2,0,16,2,10,2,0,4,2,0,0,2,8,2,0,0,2,2,0,7,0,4,3,3,2,0,2,2,24,2,0,0,2,0,0,17,3,2,4,2,7,80,0,0,0,1
68,Finland,344,2,0,5,0,66,5,3,0,2,58,19,0,2,0,9,4,0,2,2,2,3,6,15,3,2,0,2,0,2,2,2,13,4,21,14,0,3,4,6,5,2,0,2,0,2,29,2,0,4,2,4,11,0,2,0,5
69,France,2527,9,3,42,4,576,32,29,7,10,330,55,2,12,4,57,12,7,8,9,18,5,92,115,33,25,2,8,8,2,34,10,97,10,320,46,0,26,8,28,50,3,7,27,2,19,142,3,7,6,3,44,63,4,26,2,28
70,French Polynesia,14,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0
71,Gabon,53,2,0,0,0,4,2,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,0,0,6,0,0,2,0,5,0,0,2,0,2,3,0,0,0,0,2,4,2,0,0,0,2,0,0,0,0,1
72,Gambia,505,2,8,2,2,13,2,2,2,0,5,46,0,2,0,3,0,3,10,8,2,2,61,10,13,15,0,4,0,2,2,0,2,0,78,37,0,20,2,3,15,0,10,5,0,9,16,3,0,0,0,8,56,0,22,0,5
73,Georgia,1253,0,2,6,0,308,13,7,0,2,43,22,0,0,6,38,2,0,0,4,3,0,25,20,5,4,2,6,0,2,13,2,111,2,383,7,0,27,2,15,60,0,2,2,0,7,17,0,0,3,2,11,60,0,3,0,9
