,NaturalizedCountry2011,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
127,"Micronesia, Federated States",74,2,2,2,0,7,2,0,0,2,2,4,3,4,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,3,0,0,13,6,2,0,2,5,8,0,0,0,1
128,Moldova,1398,7,3,9,2,321,16,12,0,3,31,43,0,0,3,28,4,2,0,6,3,2,22,73,6,93,0,29,2,2,5,2,22,0,122,49,0,8,2,68,36,0,0,9,0,10,16,2,0,4,2,22,291,0,5,0,8
129,Monaco,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Mongolia,242,0,0,0,2,87,16,0,0,2,2,3,0,0,3,28,9,2,0,2,2,0,6,0,2,2,0,3,0,0,2,0,0,0,11,2,0,4,2,0,2,0,0,0,0,2,5,0,0,2,0,22,9,2,2,0,14
131,Montenegro,205,0,0,2,0,4,0,7,2,0,5,0,0,0,0,3,0,0,0,0,0,0,0,2,22,0,0,2,0,0,2,0,14,0,133,2,0,2,2,2,2,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0
132,Montserrat,63,0,0,0,0,0,2,2,0,0,7,2,0,0,0,0,0,0,0,0,0,0,2,12,2,0,0,0,0,0,0,0,3,0,18,2,0,0,0,0,2,0,0,2,0,0,2,0,6,2,0,2,0,0,0,0,4
133,Morocco,3656,16,0,25,2,259,70,84,14,7,463,55,0,5,4,156,22,10,15,20,22,9,69,477,24,47,7,18,6,2,25,15,179,3,411,129,0,110,46,10,210,2,28,29,2,11,150,0,0,5,2,241,37,2,23,2,77
134,Mozambique,49,0,0,0,0,8,2,3,0,0,5,2,0,0,2,2,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,6,0,6,2,0,0,0,0,2,0,0,2,0,0,3,0,0,0,0,2,2,0,0,0,1
135,Namibia,29,0,0,2,0,3,2,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,2,0,5,0,0,0,0,0,2,0,2,0,0
136,Nepal,2235,14,4,31,3,308,157,48,0,6,40,29,0,8,2,57,15,10,14,23,5,0,145,127,21,39,2,16,0,26,10,27,33,15,257,43,0,10,5,22,21,0,4,14,4,8,257,5,0,5,5,182,51,0,32,2,74
137,Netherlands,778,4,4,14,2,149,35,12,2,4,56,28,0,13,4,23,2,2,3,2,4,2,18,30,29,10,2,9,4,2,3,3,26,3,58,15,0,20,4,7,17,2,2,9,2,16,44,2,0,9,0,24,27,0,12,0,9
138,Netherlands Antilles,60,2,0,0,0,6,0,0,0,0,15,2,0,0,0,2,2,0,0,0,0,2,2,2,0,0,0,0,0,2,0,0,2,0,9,2,0,0,2,0,3,0,2,0,0,0,2,0,4,0,2,5,2,0,0,0,0
139,New Caledonia,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,New Zealand,480,2,4,7,2,131,19,4,0,0,29,13,2,12,3,5,0,2,2,0,0,2,12,20,6,4,2,6,3,2,10,3,6,2,28,8,2,9,2,6,14,0,2,4,2,6,32,2,2,9,0,7,26,0,7,2,2
141,Nicaragua,5092,9,2,28,8,1068,19,14,2,7,2577,89,0,3,5,41,24,6,9,5,68,2,90,36,7,23,5,11,2,8,54,0,106,4,127,84,2,21,9,21,24,10,3,18,0,14,227,13,2,19,2,54,35,2,21,0,57
142,Niger,124,0,0,2,2,2,2,2,0,0,2,2,0,0,2,0,7,0,0,2,2,2,19,2,3,0,0,0,0,2,0,2,4,0,13,23,0,5,2,0,22,0,0,2,0,0,2,0,0,0,0,2,3,0,0,0,2
143,Nigeria,9344,52,10,85,20,773,59,78,46,47,273,694,0,3,2,572,102,17,38,28,38,3,1065,299,144,203,14,66,2,18,40,12,580,10,974,228,7,160,68,22,258,0,72,70,0,106,1622,9,2,10,2,150,57,5,46,2,82
144,Norway,90,0,0,4,0,12,4,2,0,0,5,0,0,2,2,5,3,2,2,0,2,0,0,2,0,3,0,0,2,0,2,0,5,2,3,5,0,2,0,3,2,0,2,2,0,0,7,2,0,2,0,3,7,0,0,0,0
145,Oman,37,0,0,0,0,5,0,2,0,0,3,3,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,0,0,0,0,2,0,4,2,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0
146,Pakistan,10655,61,6,82,26,1359,60,179,40,5,418,355,2,3,2,851,57,20,33,45,77,3,393,206,247,60,16,95,0,5,55,18,599,7,1753,197,6,129,58,25,299,2,27,40,2,84,1671,2,2,25,4,517,128,5,63,4,231
147,Palau,68,0,2,0,0,4,2,0,0,0,2,2,5,8,2,0,0,0,2,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,2,5,0,2,3,0,0,0,0,3,0,0,4,6,0,0,0,6,7,0,0,2,2
148,Panama,1340,10,2,13,6,113,16,6,2,3,289,97,0,6,0,25,5,2,9,8,9,2,39,25,8,10,8,11,0,3,20,0,37,8,181,46,0,18,10,3,21,8,2,13,0,31,125,6,0,2,0,42,25,2,6,0,11
149,Papua New Guinea,17,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
150,Paraguay,289,2,2,4,0,25,3,5,0,2,62,6,0,0,0,0,0,0,9,0,0,0,9,5,0,2,0,2,0,0,5,0,23,0,75,4,0,0,0,2,5,0,0,2,0,2,11,2,0,6,0,11,4,0,2,0,3
151,Peru,10266,27,6,98,13,1535,102,253,13,18,2803,222,2,22,23,170,46,3,17,29,17,6,290,197,28,33,9,36,7,13,103,19,1179,18,836,179,3,102,54,56,152,25,30,62,2,51,417,11,2,178,7,400,87,6,37,4,210
152,Philippines,42520,110,341,641,77,17288,199,286,67,46,1936,382,509,1644,89,2238,291,67,105,173,108,36,863,309,357,232,89,179,30,46,1668,49,2247,87,2157,445,24,328,176,246,425,2,51,277,24,223,2457,213,39,119,2,804,1240,30,158,27,253
153,Pitcairn Island,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Poland,8844,11,5,79,2,326,87,567,8,5,419,62,0,16,7,2860,40,3,4,16,8,10,59,241,147,30,2,18,2,8,50,18,1117,11,1662,70,0,89,14,39,243,2,29,36,2,29,116,8,0,11,6,59,83,5,52,2,51
155,Portugal,1426,2,0,4,2,122,3,91,3,2,89,6,0,0,5,7,2,2,0,2,0,5,18,314,2,0,0,3,0,2,2,10,422,2,113,12,0,2,2,3,32,0,83,3,0,2,8,3,0,2,2,12,8,0,2,0,22
156,Qatar,101,2,0,2,0,7,0,0,2,0,11,4,0,0,0,4,0,2,2,0,0,0,5,2,7,2,0,2,0,2,0,0,2,0,6,3,0,3,3,2,2,0,0,0,0,2,19,0,0,2,0,4,2,0,2,0,1
157,Romania,4314,20,7,187,13,621,58,65,9,7,353,212,2,8,17,475,34,7,6,11,15,6,46,92,235,22,5,25,2,7,65,23,117,6,435,73,0,164,12,109,114,0,5,42,3,50,192,6,3,10,7,54,204,0,26,2,26
158,Russia,8257,31,40,82,11,1448,207,97,14,7,542,165,2,19,38,326,58,20,25,50,13,22,196,412,73,115,14,59,13,15,105,41,398,33,1252,131,5,164,42,190,294,2,16,67,8,55,263,10,0,40,10,155,695,4,86,6,72
159,Rwanda,265,0,0,11,0,14,6,2,3,2,6,22,0,0,0,6,5,2,7,2,0,2,10,9,15,8,0,2,0,0,5,6,2,0,24,5,2,16,0,3,9,0,9,0,0,9,24,0,0,2,0,10,5,0,2,2,3
160,Saint Kitts-Nevis,306,2,2,0,0,2,2,2,0,0,64,14,0,2,0,2,0,2,0,2,0,0,13,5,2,2,0,0,0,0,2,0,8,0,77,7,0,2,3,0,6,5,4,0,0,2,3,0,72,0,0,6,0,0,0,0,1
161,Saint Lucia,600,2,0,3,0,19,3,29,2,2,93,25,0,2,0,3,0,2,2,2,5,0,13,12,2,0,0,0,0,0,2,0,14,3,215,9,0,4,2,0,13,2,2,8,0,2,30,4,58,0,2,13,0,0,3,0,1
162,Saint Vincent and the Grenadines,416,0,2,4,2,10,2,3,3,2,45,11,0,0,0,2,0,0,0,2,2,0,9,13,3,2,0,2,0,0,2,0,22,0,219,6,0,0,3,2,9,2,0,3,0,0,10,2,11,0,2,9,2,0,0,0,2
163,Samoa,172,0,5,5,0,36,2,0,0,0,5,2,0,29,2,2,0,0,0,5,2,2,0,0,2,0,0,9,2,0,4,0,0,0,0,2,0,0,0,5,2,0,0,0,0,0,2,2,0,32,0,0,23,0,0,0,0
164,San Marino,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Sao Tome and Principe,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
166,Saudi Arabia,814,7,2,13,3,115,9,5,4,0,44,16,0,0,0,59,7,2,5,6,3,2,16,21,63,17,2,10,0,2,8,0,40,2,58,12,2,34,2,6,35,0,0,5,2,8,98,0,0,3,2,39,12,2,5,0,11
167,Senegal,752,2,0,3,2,32,9,9,5,5,19,38,0,2,0,16,15,2,4,14,2,0,53,21,15,5,4,14,0,2,6,2,27,2,170,31,0,58,9,5,18,0,35,11,0,13,26,0,2,3,2,14,13,2,6,0,10
168,Serbia,85,0,2,0,0,2,0,0,0,2,6,0,0,0,0,57,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
169,Serbia and Montenegro 1,2185,2,2,51,0,197,11,75,5,3,159,38,0,6,7,192,29,15,3,17,3,2,30,34,198,7,2,24,0,3,35,9,111,2,573,28,5,56,6,6,55,0,2,4,2,22,57,2,0,4,2,21,27,2,20,0,21
170,Seychelles,19,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0
171,Sierra Leone,1831,4,3,22,2,95,11,5,22,6,36,73,0,0,0,25,11,6,2,6,2,0,371,67,28,57,0,14,0,5,5,5,127,2,181,57,2,82,4,2,146,0,6,10,2,12,78,4,0,2,0,129,23,0,9,2,74
172,Singapore,311,0,0,3,2,97,6,3,0,0,8,10,0,5,2,4,3,2,2,0,2,0,7,7,7,4,0,2,0,0,14,0,9,2,21,7,0,6,3,2,5,0,0,4,0,2,33,2,0,2,2,2,21,0,2,0,4
173,Slovakia,421,0,2,7,0,44,11,8,2,0,36,14,0,5,2,39,0,2,2,2,0,2,9,10,7,6,2,7,0,0,4,2,66,0,59,6,0,7,2,6,17,0,0,3,2,4,6,0,0,3,0,7,5,2,3,0,7
174,Slovenia,57,0,0,3,2,7,0,0,2,0,6,2,0,0,0,6,0,2,0,2,0,0,2,3,2,2,0,0,0,0,2,0,2,0,5,2,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,2,2,0,2,0,1
175,Solomon Islands,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
176,Somalia,7971,0,8,238,0,405,117,18,0,2,5,138,0,0,28,148,24,31,61,101,3,294,46,217,53,2807,0,110,0,117,23,10,3,2,125,44,50,861,3,137,24,0,0,2,14,181,209,3,2,117,28,101,880,0,99,0,85
177,South Africa,2566,21,10,47,18,354,64,53,8,3,319,191,0,10,4,93,26,10,21,20,9,6,43,80,32,38,8,11,2,10,24,14,74,9,132,101,2,50,17,39,73,0,3,32,4,58,226,6,2,24,2,46,67,0,32,3,19
178,"Soviet Union, former",2812,7,14,29,4,507,54,47,2,8,194,48,0,5,4,138,18,13,10,8,5,5,76,71,71,35,2,19,5,8,19,11,151,7,595,52,0,47,11,68,70,2,9,19,7,17,77,0,0,15,5,51,119,2,22,2,29
179,Spain,1253,4,5,23,0,185,21,18,4,11,212,34,0,3,0,32,9,2,2,3,6,2,26,41,12,6,0,13,2,5,13,7,99,6,137,22,2,14,5,7,27,24,4,15,2,6,71,11,0,17,2,33,25,0,8,2,17
180,Sri Lanka,1334,3,0,18,11,324,7,8,2,4,56,24,0,4,2,38,7,6,12,10,4,2,96,54,30,20,2,7,0,4,30,6,61,2,197,18,0,35,4,11,44,0,2,2,0,7,96,0,0,2,2,31,13,0,6,0,14
181,Sudan,2444,20,3,116,2,140,59,22,4,7,59,37,0,0,13,73,14,120,14,21,9,36,60,42,33,102,3,46,0,149,5,33,36,0,168,97,27,48,4,5,86,0,0,8,25,99,204,0,2,58,9,175,83,0,11,0,59
182,Suriname,194,2,0,0,0,8,2,0,2,0,65,5,0,0,0,4,0,0,2,2,6,0,3,3,2,2,0,2,0,2,2,0,13,0,61,4,0,0,2,0,3,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,1
183,Swaziland,15,0,0,2,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,2,0,0,0,0
184,Sweden,872,11,2,10,0,230,27,25,3,0,110,16,0,6,4,32,4,2,2,2,2,4,13,37,6,18,2,6,2,2,6,2,29,3,67,16,2,6,3,16,19,0,2,7,0,2,43,2,2,6,4,11,37,0,4,0,14
185,Switzerland,427,3,2,14,2,105,11,4,0,4,38,9,2,3,2,10,4,2,2,2,2,2,12,10,3,2,2,4,2,2,5,2,14,4,43,11,0,10,2,6,13,2,0,2,0,6,21,2,2,3,2,7,13,2,2,3,2
186,Syria,1981,7,0,32,10,581,17,20,2,0,133,27,0,2,0,142,19,5,7,15,6,0,24,77,104,5,5,12,0,7,7,6,115,5,165,17,0,68,16,15,96,3,15,3,0,20,91,0,2,2,0,23,17,3,8,0,26
187,Taiwan,5065,13,4,50,8,2432,41,24,3,2,116,99,4,42,5,114,34,5,27,19,17,2,98,96,48,25,5,17,2,3,43,7,196,13,371,73,0,56,14,39,56,0,7,18,2,19,424,2,0,32,0,66,204,5,30,0,37
188,Tajikistan,155,2,0,9,0,22,20,0,0,0,7,2,0,2,2,4,0,0,0,0,0,0,2,0,0,2,0,2,0,5,2,0,9,0,37,2,3,2,2,8,4,0,0,0,0,2,2,0,0,0,0,2,10,0,0,0,0
189,Tanzania,516,8,0,6,2,50,2,5,2,3,51,28,0,0,0,9,7,2,12,2,4,0,33,18,9,19,2,5,2,2,6,2,7,6,27,19,0,26,2,0,21,0,2,4,0,9,63,2,0,2,0,10,18,2,4,0,8
190,Thailand,5299,29,56,53,25,1838,53,24,7,4,275,110,5,69,13,135,21,10,32,18,25,15,96,138,61,370,6,36,4,8,139,11,62,12,170,99,2,61,22,64,73,0,16,24,6,43,234,15,2,24,8,115,203,5,300,2,51
191,Togo,1523,12,0,22,0,26,22,44,7,6,26,85,0,4,6,134,19,21,3,13,2,2,194,18,5,117,0,20,0,63,3,0,57,0,219,80,0,36,9,7,56,0,6,14,0,11,43,3,0,10,2,50,10,0,16,0,22
192,Tonga,251,0,2,8,0,108,2,0,0,0,2,2,0,23,2,0,0,2,0,2,0,0,0,2,2,0,0,0,0,0,6,0,0,0,0,2,0,0,0,9,0,0,0,2,0,0,10,0,0,50,0,2,19,0,2,0,2
193,Trinidad and Tobago,5014,15,6,30,2,117,14,56,12,14,909,173,0,7,2,49,9,0,6,9,11,2,239,144,19,21,2,3,0,4,14,5,332,2,2058,64,0,22,20,3,160,2,10,48,0,13,182,18,23,2,2,95,28,4,2,2,33
194,Tunisia,377,4,0,4,2,38,3,2,4,6,66,5,0,2,0,13,4,2,3,2,2,0,18,5,11,3,2,3,0,2,0,2,13,2,44,5,2,15,2,2,26,0,3,2,0,6,24,0,0,2,0,16,5,0,0,2,11
195,Turkey,3100,7,3,24,6,426,22,56,24,4,276,90,0,4,3,109,30,4,10,6,11,5,69,132,29,25,4,13,2,5,20,8,384,6,548,44,2,41,9,10,145,0,7,28,0,37,164,6,0,7,4,105,58,4,15,2,49
196,Turkmenistan,146,0,0,2,0,29,4,2,0,2,11,3,0,0,2,2,2,0,0,0,0,0,2,5,0,2,0,2,0,0,2,0,6,0,18,0,0,2,0,3,7,0,0,0,0,2,5,0,0,8,0,2,16,0,10,0,2
197,Turks and Caicos Islands,36,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Tuvalu,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Uganda,838,2,2,12,2,136,19,8,2,2,24,38,0,2,0,26,8,8,7,2,2,0,59,181,8,26,2,4,0,2,3,0,11,0,36,7,2,13,13,3,26,0,3,3,2,4,65,0,0,3,0,22,21,2,11,0,10
200,Ukraine,8489,26,26,49,10,1261,105,90,15,2,402,128,2,6,25,658,47,26,19,54,16,4,110,227,91,150,10,75,8,27,46,33,352,19,1347,153,4,231,34,360,407,0,9,55,30,62,144,8,0,22,3,94,1288,6,74,4,35
201,United Arab Emirates,425,4,2,9,2,66,4,8,2,4,18,15,0,0,0,33,7,0,4,3,2,2,8,12,11,17,3,4,0,2,5,0,14,2,23,3,0,13,7,0,19,0,0,2,0,6,67,0,0,2,0,5,12,0,6,0,4
202,United Kingdom,9246,41,13,211,19,1578,204,192,21,23,1116,333,2,26,25,290,59,17,22,38,42,33,190,417,202,83,12,59,11,19,80,55,356,38,708,310,7,157,41,125,315,2,28,115,3,99,742,16,2,54,26,235,281,15,56,8,76
203,United States,45,0,0,2,0,10,0,0,0,2,5,2,0,2,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,4,0,0,2,0,2,2,0,0,0,0,0,4,0,0,0,0,3,2,0,2,0,1
204,Uruguay,751,2,4,7,0,53,5,11,2,2,252,33,0,2,2,13,4,0,3,3,5,0,17,28,5,6,2,2,0,2,6,4,101,3,62,11,0,4,2,3,13,4,2,11,2,3,22,0,0,15,0,14,6,0,2,0,7
205,Uzbekistan,2463,3,2,38,0,276,54,11,2,2,109,53,2,3,51,115,6,2,5,75,2,0,101,56,28,11,2,35,2,2,10,13,65,2,550,24,2,137,5,47,176,0,0,8,2,7,58,3,0,24,8,39,205,2,19,0,12
206,Vanuatu,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Venezuela,6856,18,5,48,14,252,49,39,10,10,3783,190,2,5,4,74,44,6,15,23,37,2,66,109,42,35,13,19,2,10,19,9,188,8,370,120,2,74,46,10,89,73,19,38,2,52,503,12,3,75,2,103,44,3,25,0,46
208,Vietnam,20922,127,9,399,72,7249,318,121,22,14,1063,802,6,127,18,327,80,91,167,86,402,39,277,604,189,361,100,267,10,100,141,34,345,69,342,476,8,170,172,341,632,3,15,112,6,194,2672,15,2,107,8,413,963,14,49,2,170
209,Western Sahara,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
210,Yemen,1320,31,0,2,7,210,3,7,6,0,7,3,0,0,2,49,8,2,0,2,13,0,8,3,366,12,19,2,0,2,0,0,16,2,393,50,0,8,0,0,7,0,0,2,2,33,10,0,0,0,0,22,6,0,0,0,12
211,Zambia,337,2,2,8,2,28,6,2,2,2,37,30,0,2,0,10,6,2,2,4,0,2,19,8,12,8,0,6,0,2,2,0,9,2,14,8,0,9,6,2,12,0,0,3,0,7,50,2,0,2,0,8,4,0,2,0,3
212,Zimbabwe,715,2,2,19,2,83,12,8,4,2,49,39,0,2,2,18,30,5,9,12,2,2,27,20,9,9,0,9,2,7,6,3,12,0,25,34,0,24,5,6,25,0,0,4,2,12,130,2,0,6,0,14,11,2,4,2,9
213,Unknown,337,2,0,7,1,41,2,2,0,0,27,5,0,0,0,29,6,1,2,6,12,0,5,0,20,1,0,10,0,1,1,0,6,0,22,18,0,28,2,0,1,2,0,1,0,10,29,0,4,1,0,11,4,0,2,0,15
