,CA,TX,FL,NY,WA/OR,AZ/NM/NV/UT/CO,MT/WY/ID/ND/SD/NE,KS/OK/MO/AR/IA/TN/KY,LA/MS/AL/GA,MN/WI/IL,IN/MI/OH/WV,SC/NC/VA,MD/DC/DE/PA/NJ,CT/RI/MA/NH/VT/ME,Other
Africa,5426.0,4457.0,2284.0,5386.0,2347.0,2563.0,603.0,2803.0,3248.0,5722.0,3085.0,6422.0,10401.0,4822.0,804.0
Asia Other,63891.0,12641.0,7147.0,17421.0,8384.0,7929.0,924.0,5938.0,6010.0,8731.0,7053.0,12588.0,15709.0,6896.0,5050.0
Europe,12055.0,2854.0,6738.0,13889.0,5497.0,4060.0,748.0,3157.0,2357.0,10063.0,4689.0,5095.0,10471.0,7270.0,1193.0
N.Amer. Other,17339.0,4968.0,44549.0,25815.0,1512.0,2832.0,414.0,2021.0,3693.0,1882.0,1631.0,6462.0,13675.0,8629.0,2705.0
Oceania,1531.0,147.0,116.0,178.0,371.0,353.0,32.0,107.0,92.0,87.0,66.0,270.0,178.0,118.0,285.0
S.Amer.,5710.0,2336.0,16777.0,12487.0,616.0,1571.0,195.0,860.0,1598.0,1370.0,721.0,4122.0,7990.0,4260.0,950.0
Mexico,50984.0,20715.0,2443.0,1163.0,3010.0,11994.0,1224.0,3450.0,1911.0,7311.0,1695.0,2975.0,1286.0,404.0,1061.0
India,10631.0,4274.0,1876.0,4099.0,1758.0,1172.0,167.0,1900.0,2091.0,4079.0,3249.0,5027.0,9618.0,2616.0,312.0
China,12048.0,1536.0,746.0,8210.0,1391.0,1039.0,143.0,799.0,699.0,1709.0,1148.0,1518.0,3349.0,2211.0,578.0
