,NaturalizedCountry2018,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,761901,2468,1379,12072,2070,163059,7973,10152,1546,1606,95978,16590,849,2666,2103,26477,6578,3610,3936,4330,2986,1124,12434,24826,14338,8348,1126,5274,401,3168,7369,1815,40089,3580,81404,13622,514,14002,4051,7757,19007,1792,3046,3897,625,5518,64685,83,617,3408,693,18118,14745,573,4715,256,6453
1,Afghanistan,1569,0,0,30,2,570,18,7,7,2,34,37,0,2,25,27,9,2,5,15,2,5,16,10,7,6,2,26,0,6,21,2,47,4,191,14,2,27,0,20,18,0,2,2,2,6,56,0,0,8,2,240,27,0,2,0,11
2,Albania,2203,2,2,10,2,55,4,125,0,5,251,6,0,0,3,109,2,2,2,2,2,5,12,295,321,3,0,22,0,0,3,9,140,3,460,10,2,55,2,3,131,0,0,18,0,5,23,0,0,4,0,25,19,0,32,0,21
3,Algeria,918,2,0,3,2,104,13,4,2,2,39,5,0,0,2,62,15,4,50,9,11,2,11,63,16,3,0,9,0,0,2,0,55,0,89,25,0,54,2,4,120,2,3,0,0,3,67,0,0,0,0,35,9,0,14,0,8
4,American Samoa,182,0,29,2,0,34,2,2,0,0,2,6,2,11,2,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,3,0,2,0,2,3,0,0,0,6,2,0,0,7,2,2,8,0,4,12,0,2,39,0,0,0,1
5,Andorra,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Angola,147,0,0,2,0,5,2,3,0,2,13,2,0,0,0,2,2,0,0,2,3,0,3,35,2,0,0,2,0,0,0,0,13,0,17,8,0,2,0,0,3,0,7,0,0,0,14,0,0,0,2,6,2,0,0,0,1
7,Anguilla,34,0,0,0,0,0,0,2,2,2,7,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0
8,Antigua and Barbuda,356,2,2,3,0,5,0,6,2,0,74,17,0,2,0,3,2,0,2,2,2,0,7,18,2,0,0,2,0,0,0,0,19,0,127,3,0,4,0,0,6,0,3,0,0,2,7,0,33,0,0,5,2,0,2,0,0
9,Argentina,3977,8,6,30,16,515,41,70,0,12,1459,83,0,6,9,65,21,11,13,20,13,4,45,72,35,24,4,31,2,2,35,0,224,13,331,60,2,23,13,26,61,28,5,28,0,27,245,2,0,57,2,100,44,2,14,0,21
