,NaturalizedRegion2015,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,730259,2834,964,13748,1576,155979,9423,9838,1633,1684,81960,20794,712,3698,1427,25722,4686,2574,2830,2846,2956,1102,18390,23554,12473,7533,946,4318,249,2221,7900,1570,34857,2452,90368,11569,561,9580,3858,6130,16554,2826,2728,4611,542,5381,65467,161,734,4838,570,18391,14341,501,3738,257,1104
1,Africa,71492,393,72,998,101,5378,1331,716,392,650,2034,3794,2,53,125,2209,697,582,418,498,230,296,6150,3843,746,2973,86,706,16,496,589,141,3405,73,7469,1827,219,2390,553,452,2611,7,560,643,181,1100,6798,23,2,310,128,3622,1762,86,413,22,115
2,Asia,261374,1307,509,4043,582,74514,2942,2477,526,309,8280,7502,676,2887,460,10035,2104,941,1181,1189,1298,404,6124,6790,7831,2875,451,1784,72,810,3116,684,11873,488,31022,4314,206,4365,1526,2269,6949,50,455,1388,202,2175,20928,58,117,1447,210,8094,6152,225,1665,75,418
3,Europe,78074,339,163,1209,111,10715,1484,2223,177,214,6511,2151,16,248,244,6282,563,378,212,427,234,189,1270,3806,2281,640,71,937,83,140,757,348,4290,173,11057,1403,62,1389,256,1221,2688,61,286,686,74,593,3276,19,12,410,111,1717,3003,63,608,46,147
4,North America,247492,601,140,6964,707,58527,2992,2601,436,345,45353,5137,2,186,520,6100,1066,587,890,586,949,168,3425,6134,1323,749,272,681,60,703,2939,264,8891,1608,29217,2916,60,994,1253,1871,3356,2334,1170,1234,62,1185,30553,2,586,1632,88,2947,2760,87,867,97,282
5,Oceania,3811,2,46,59,9,1374,115,2,3,2,2,97,8,193,18,73,2,6,15,7,13,6,2,45,34,2,2,2,3,3,62,5,2,17,184,51,2,37,39,2,2,2,3,67,2,20,166,15,2,173,2,62,2,2,15,3,57
6,South America,67927,182,34,472,66,5466,559,1795,99,154,19665,2107,3,131,60,1018,234,80,114,139,228,39,1378,2933,249,271,62,189,15,69,437,128,6343,93,11412,1058,2,391,231,217,909,371,254,593,2,308,3742,2,13,866,2,1946,427,2,170,14,78
7,Unknown,89,2,0,3,0,5,0,2,0,2,2,6,0,0,0,5,2,0,0,0,4,0,2,3,9,2,2,2,0,0,0,0,2,0,7,0,0,14,0,2,2,2,0,0,0,0,4,0,0,0,0,3,2,0,0,0,7
